name,synonyms,category,specific gravity,energy kcal,protein,alcohol,water,"carbohydrates, available",starch,sugars,dietary fibres,"fat, total",cholesterol,"fatty acids, monounsaturated","fatty acids, saturated","fatty acids, polyunsaturated",beta-carotene,vitamin b1,vitamin b2,vitamin b6,vitamin b12,niacin,folate,pantothenic acid,vitamin c,vitamin d,sodium,potassium,chloride,calcium,magnesium,phosphorus,iron,iodide,zinc
pane alle noci,,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,338.0,8.9,0.0,36.1,30.9,28.6,1.4,5.5,18.6,0.026,3.4,3.9,10.0,1.7e-05,0.00021,0.00011999999999999999,0.00022999999999999998,2.2e-07,0.0022,4.9e-05,0.00054,0.0004,2e-07,0.48,0.24,0.74,0.032,0.067,0.21,0.0022,2.9e-06,0.002
salsa béchamel fatta in casa,,Diversi/Salse,,148.0,4.3,0.0,75.4,10.2,5.4,4.8,0.2,9.9,0.032,2.4,6.0,0.5,4.6e-05,2e-05,0.00016,4e-05,1.1e-07,0.00031,2.9e-06,0.0004,0.0007,2e-07,0.3,0.18,0.49,0.12,0.012,0.1,0.0001,9.8e-06,0.0005
"bacche (in media), cotte (senza aggiunta di zucchero),",,Frutta/Frutta cotta (incl. conserve),,44.0,0.8,0.0,88.1,7.6,0.0,7.6,3.0,0.5,0.0,0.1,0.0,0.3,6e-06,2e-05,2.9999999999999997e-05,5.9999999999999995e-05,0.0,0.00045999999999999996,4.1e-05,0.00026000000000000003,0.0399,0.0,0.0022,0.15,0.015,0.02,0.013,0.024,0.0005,1.3e-06,0.0001
"bacche (in media), crude",,Frutta/Frutta fresca,,42.0,0.8,0.0,88.7,7.2,0.0,7.2,2.8,0.5,0.0,0.1,0.0,0.3,8e-06,2e-05,2.9999999999999997e-05,5.9999999999999995e-05,0.0,0.00049,5.5e-05,0.00027,0.054200000000000005,0.0,0.0021000000000000003,0.16,0.013999999999999999,0.02,0.012,0.023,0.0005,1.2e-06,0.0001
bombolone farcito ,Berliner,Dolciumi/Altre pasticcerie dolci,,326.0,8.4,0.0,32.2,43.1,37.8,5.2,2.2,12.8,0.104,4.0,6.8,0.9,5e-05,5e-05,0.0001,0.0001,0.0,0.00047999999999999996,1.4000000000000001e-05,0.00037999999999999997,0.0002,1e-06,0.25,0.11,0.4,0.038,0.016,0.1,0.0013000000000000002,4.1e-06,0.0009000000000000002
formaggio dei alpi di berna,,Latte e prodotti di latte/Formaggio a pasta dura,,456.0,27.7,0.0,26.2,0.0,0.0,,0.0,38.3,,,,,,,,,,,,,,,0.66,,,0.92,,,,,
berner hobelkäse (formaggio rotoli),,Latte e prodotti di latte/Formaggio a pasta dura,,493.0,30.6,0.0,21.9,0.0,0.0,,0.0,41.2,,,,,,,,,,,,,,,0.6900000000000001,,,,,,,,
salsiccia bernese (di lingua),,Prodotti carnei e insaccati/Salsicce scottate,,334.0,17.3,0.0,50.9,0.0,0.0,0.0,0.0,29.4,0.063,13.8,10.9,3.0,0.0,0.0005300000000000001,0.0002,0.0003,2.6e-06,0.004900000000000001,2.3e-06,0.00054,0.0,0.0,0.6,0.22,0.88,0.0034,0.02,0.1,0.0013000000000000002,7e-07,0.0024
biber,,Dolciumi/Altre pasticcerie dolci,,464.0,10.3,0.6,6.3,56.9,12.9,45.4,6.0,19.9,0.001,12.5,1.6,5.4,1e-06,0.00013000000000000002,0.00017999999999999998,0.00011,0.0,0.0012,2e-05,0.00022999999999999998,0.0001,0.0,0.0018000000000000004,0.32,0.027999999999999997,0.11,0.1,0.22,0.0024,1e-06,0.0026000000000000003
birra panaché (media),,Bevande alcoliche/Birra,1.0,38.0,0.2,1.3,91.1,7.1,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0031000000000000003,0.0053,0.0073,0.0033,0.0073,0.0007,0.0001,1.2e-06,0.0
