name,biotina | mcg,folati totali | mcg,iodio | mcg,selenio | mcg,vitamina b12 | mcg,vitamina d | mcg,vitamina k | mcg,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,acido arachidonico | g,acido aspartico | mg,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido erucico | g,acido glutammico | mg,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | mg,acido stearico | g,acqua | g,alcol | g,altri acidi grassi polinsaturi | g,arginina | mg,calcio | mg,cistina | mg,cloro | mg,colesterolo | mg,fenilalanina | mg,fibra alimentare totale | g,fosforo | mg,fruttosio | g,galattosio | g,glicina | mg,glucosio | g,lattosio (mse) | g,lipidi totali | g,magnesio | mg,maltosio (mse) | g,manganese | mg,niacina | mg,parte edibile | %,prolina | mg,proteine totali | g,saccarosio (mse) | g,serina | mg,sodio | mg,tirosina | mg,treonina | mg,vitamina b6 | mg,vitamina c | mg,zinco | mg,zolfo | mg,acido eicosenoico | g,acido arachico | g,amido (mse) | g,carboidrati solubili (mse) | g,lipidi animali | g,lipidi vegetali | g,proteine animali | g,proteine vegetali | g,ferro | mg,potassio | mg,isoleucina | mg,leucina | mg,metionina | mg,valina | mg,istidina | mg,triptofano | mg,rame | mg,lisina | mg,alanina | mg,tiamina (vit. b1) | mg,riboflavina (vit. b2) | mg,"vitamina e, aggiunta | mg",ß-carotene equivalente | mcg,"somma degli acidi butirrico, caproico, caprilico e caprico | g","calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",retinolo equivalente | mcg,Carboidrati disponibili | g
"pesca, con buccia",0.2,3.0,3.0,1.0,0.0,0.0,5.8,0.03,0.05,0.01,0.0,81.0,0.0,0.0,0.0,0.0,125.0,0.0,0.04,0.0,0.0,0.0,0.03,0.01,0.0,0.17,0.0,90.7,0.0,0.01,15.0,8.0,8.0,0.0,0.0,16.0,1.6,20.0,0.8,0.0,14.0,0.8,0.0,0.1,9.0,0.0,0.1,0.5,91.0,24.0,0.8,4.0,30.0,3.0,18.0,24.0,0.02,4.0,0.35,6.0,0.0,0.0,0.0,6.1,0.0,0.1,0.0,0.8,0.4,260.0,11.0,25.0,8.0,35.0,15.0,4.0,0.04,26.0,35.0,0.01,0.03,0.73,162.0,0.0,30.0,27.0,0.0,6.1
salmone in salamoia,9.0,14.0,59.0,25.0,4.0,17.0,0.0,4.18,3.31,2.27,0.17,2161.0,0.0,1.39,0.87,1.05,3150.0,0.0,0.17,0.17,0.52,0.0,1.74,1.57,0.52,0.74,0.35,64.3,0.0,0.52,1262.0,66.0,227.0,730.0,35.0,824.0,0.0,286.0,0.0,0.0,1012.0,1.0,0.0,11.5,25.0,0.0,0.0,7.0,98.0,747.0,21.1,0.0,860.0,540.0,713.0,925.0,0.21,0.0,0.8,240.0,1.05,0.0,0.0,1.0,11.5,0.0,21.1,0.0,0.8,300.0,972.0,1715.0,624.0,1087.0,621.0,236.0,0.05,1938.0,1276.0,0.05,0.19,1.52,0.0,0.0,192.0,192.0,60.0,1.0
zafferano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,2.07,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.24,0.0,0.0,0.39,0.0,0.0,0.0,0.0,11.9,0.0,0.08,0.0,110.0,0.0,0.0,0.0,0.0,3.9,250.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,1.5,100.0,0.0,11.4,0.0,0.0,150.0,0.0,0.0,1.3,0.0,1.1,0.0,0.0,0.0,19.1,42.4,0.0,5.9,0.0,11.4,11.1,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.27,1.69,318.0,0.0,337.0,329.0,0.0,61.5
"succo di barbabietola, fresco",0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.8,0.0,0.0,60.0,0.0,0.0,0.01,5.0,0.29,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.8,0.3,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,18.0,14.0,0.0,2.9
cedro candito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9,100.0,0.0,0.1,0.0,0.0,27.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,75.0,0.0,0.2,0.0,0.1,1.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,292.0,283.0,0.0,75.0
"origano, fresco",0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.13,1.02,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.82,0.0,0.0,0.1,0.0,0.0,0.0,0.0,81.8,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,8.4,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.22,100.0,0.0,2.2,0.0,0.0,3.0,0.0,0.0,1.21,45.0,0.9,0.0,0.0,0.0,0.0,9.7,0.0,2.0,0.0,2.2,8.6,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.32,1.69,810.0,0.0,80.0,63.0,0.0,9.7
"pollo, intero, con pelle, cotto al forno",3.0,9.0,7.0,15.0,0.0,0.3,0.0,2.91,2.66,3.04,0.62,2623.0,0.0,0.16,0.05,0.0,3867.0,0.0,1.31,0.07,0.12,0.02,2.4,1.88,0.4,1.29,1.01,61.6,0.0,0.45,1864.0,20.0,320.0,80.0,119.0,1100.0,0.0,220.0,0.0,0.0,1493.0,0.0,0.0,10.2,31.0,0.0,0.02,8.7,73.0,1173.0,27.1,0.0,1192.0,93.0,913.0,1247.0,0.34,0.0,1.9,140.0,0.06,0.0,0.0,0.0,10.2,0.0,27.1,0.0,1.1,366.0,1339.0,2160.0,827.0,1455.0,892.0,304.0,0.15,2431.0,1648.0,0.07,0.15,0.21,0.0,0.0,200.0,200.0,0.0,0.0
broccoletti di rape,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,2.9,69.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,60.0,0.0,2.9,0.0,0.0,7.0,0.0,0.0,0.26,110.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,2.9,1.5,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,2.24,1350.0,0.0,28.0,22.0,0.0,2.0
prosciutto cotto,3.0,19.0,5.0,5.6,1.0,0.8,0.0,6.05,2.45,5.1,0.35,1973.0,0.0,0.0,0.04,0.0,3068.0,0.0,1.89,0.16,0.15,0.0,5.16,2.43,0.33,1.03,1.54,62.2,0.0,0.01,1265.0,6.0,230.0,1470.0,62.0,805.0,0.0,250.0,0.2,0.0,942.0,0.3,0.2,14.7,16.0,0.0,0.01,3.2,100.0,821.0,19.8,0.3,821.0,648.0,698.0,829.0,0.61,0.0,2.6,180.0,0.35,0.04,0.0,0.9,14.7,0.0,19.8,0.0,0.7,227.0,976.0,1695.0,520.0,1186.0,720.0,208.0,0.07,1739.0,1174.0,0.4,0.15,0.04,0.0,0.0,215.0,215.0,0.0,0.9
caciottina fresca,2.2,19.0,4.0,7.7,2.1,0.16,0.0,6.51,0.71,12.48,0.0,1049.0,0.0,0.0,0.0,0.0,2755.0,0.65,0.41,0.3,2.19,0.41,5.5,5.44,0.59,0.25,2.31,54.8,0.0,0.0,582.0,290.0,115.0,990.0,90.0,820.0,0.0,420.0,0.0,0.0,303.0,0.0,0.5,21.3,30.0,0.0,0.0,0.08,100.0,1632.0,17.3,0.0,836.0,299.0,877.0,615.0,0.09,0.0,2.6,110.0,0.0,0.0,0.0,0.5,21.3,0.0,17.3,0.0,0.8,36.0,754.0,1410.0,500.0,935.0,451.0,189.0,0.0,1189.0,484.0,0.03,0.31,0.22,20.0,1.89,263.0,263.0,139.0,0.5
calamaro,0.0,13.0,20.0,66.0,3.0,0.0,0.0,0.45,0.4,0.85,0.0,1216.0,0.0,0.09,0.31,0.06,1713.0,0.0,0.0,0.0,0.11,0.0,0.11,0.68,0.03,0.68,0.06,80.0,0.0,0.0,919.0,144.0,165.0,280.0,64.0,451.0,0.0,189.0,0.0,0.0,788.0,0.6,0.0,1.7,22.0,0.0,0.02,1.2,65.0,514.0,12.6,0.0,564.0,185.0,403.0,542.0,0.69,0.0,3.1,0.0,0.26,0.0,0.0,0.6,1.7,0.0,12.6,0.0,0.2,145.0,548.0,886.0,284.0,550.0,242.0,141.0,1.2,941.0,762.0,0.07,0.16,1.2,0.0,0.0,68.0,68.0,75.0,0.6
"bovino, vitellone, 15-18 mesi, lombata, senza grasso visibile",1.0,16.0,11.0,6.0,2.0,0.5,0.0,1.69,1.03,1.73,0.14,2115.0,0.0,0.06,0.12,0.12,3717.0,0.0,0.49,0.1,0.11,0.08,1.31,0.9,0.13,0.8,0.63,72.3,0.0,0.12,1308.0,4.0,238.0,49.0,60.0,889.0,0.0,178.0,0.0,0.0,1083.0,0.0,0.0,5.2,18.0,0.0,0.0,4.7,100.0,896.0,21.8,0.0,892.0,44.0,772.0,889.0,0.56,0.0,4.0,190.0,0.0,0.0,0.0,0.0,5.2,0.0,21.8,0.0,1.4,333.0,942.0,1875.0,626.0,1053.0,841.0,244.0,0.06,1984.0,1341.0,0.1,0.15,0.15,0.0,0.0,134.0,134.0,0.0,0.0
"pomodori, secchi",0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.49,1.12,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.01,0.0,0.0,0.48,0.0,0.0,0.0,0.0,14.6,0.0,0.01,0.0,110.0,0.0,0.0,0.0,0.0,12.3,356.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.1,100.0,0.0,14.1,0.0,0.0,2.0,0.0,0.0,0.33,39.0,1.99,0.0,0.0,0.0,0.0,43.5,0.0,3.0,0.0,14.1,9.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.49,0.01,522.0,0.0,271.0,247.0,0.0,43.5
"ricotta intera, tipo tedesco",1.9,6.0,15.0,3.9,0.3,0.03,0.0,1.56,0.17,2.99,0.0,1193.0,0.0,0.0,0.0,0.0,2317.0,0.16,0.1,0.07,0.52,0.1,1.32,1.3,0.14,0.21,0.55,78.0,0.0,0.0,395.0,85.0,259.0,100.0,32.0,501.0,0.0,165.0,0.0,0.0,257.0,0.0,3.6,5.1,17.0,0.0,0.0,0.1,100.0,766.0,12.5,0.0,591.0,35.0,470.0,582.0,0.03,1.0,0.5,30.0,0.0,0.0,0.0,3.6,5.1,0.0,12.5,0.0,0.4,87.0,662.0,1416.0,288.0,756.0,263.0,125.0,0.01,1128.0,611.0,0.04,0.27,0.21,24.0,0.45,109.0,109.0,40.0,3.6
cavolfiore,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.0,90.5,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,2.4,69.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.2,66.0,0.0,3.2,0.0,0.0,8.0,0.0,0.0,0.23,59.0,0.7,0.0,0.0,0.0,0.3,2.4,0.0,0.2,0.0,3.2,0.8,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.18,0.0,0.0,30.0,25.0,0.0,2.7
grissini,0.0,22.0,0.0,0.0,0.0,0.0,0.0,7.82,1.84,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.15,0.0,0.0,7.5,0.0,0.0,0.0,0.0,8.5,0.0,0.12,0.0,13.0,0.0,0.0,6.0,0.0,3.5,162.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.9,100.0,0.0,12.3,0.0,0.0,610.0,0.0,0.0,0.12,0.0,0.7,0.0,0.0,0.0,66.8,2.2,6.5,7.4,0.0,12.3,2.3,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,1.3,0.0,0.0,440.0,433.0,0.0,69.0
ananas,0.3,5.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,86.4,0.0,0.0,18.0,17.0,13.0,29.0,0.0,19.0,1.0,8.0,2.5,0.0,22.0,2.0,0.0,0.0,16.0,0.0,0.5,0.2,57.0,16.0,0.5,5.4,32.0,2.0,18.0,18.0,0.09,17.0,0.1,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.5,250.0,18.0,22.0,11.0,22.0,9.0,5.0,0.08,24.0,31.0,0.05,0.01,0.1,42.0,0.0,42.0,40.0,0.0,10.0
montasio,1.5,12.0,44.0,13.0,1.6,0.25,0.0,9.84,1.07,18.87,0.0,1952.0,0.0,0.0,0.0,0.0,6737.0,0.98,0.63,0.45,3.31,0.63,8.32,8.23,0.89,0.35,3.49,32.0,0.0,0.0,948.0,870.0,147.0,1080.0,100.0,1502.0,0.0,690.0,0.0,0.0,535.0,0.0,0.0,32.2,37.0,0.0,0.0,0.04,100.0,2852.0,30.3,0.0,1492.0,757.0,1579.0,951.0,0.11,0.0,2.3,200.0,0.0,0.0,0.0,0.0,32.2,0.0,30.3,0.0,0.3,99.0,1532.0,2642.0,890.0,1941.0,781.0,362.0,0.13,2332.0,897.0,0.03,0.39,0.69,100.0,2.86,411.0,411.0,413.0,0.0
"wakame, secca",0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.22,0.82,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.0,12.2,0.0,0.77,0.0,660.0,0.0,0.0,0.0,0.0,47.1,310.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,4.6,100.0,0.0,12.4,0.0,0.0,3220.0,0.0,0.0,0.01,15.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,12.4,11.6,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.14,1.0,515.0,0.0,165.0,71.0,0.0,0.0
cipolle,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,92.1,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.1,35.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,83.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.14,5.0,0.3,0.0,0.0,0.0,0.0,5.7,0.0,0.1,0.0,1.0,0.4,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.22,0.0,0.0,28.0,26.0,0.0,5.7
cipolline sott'aceto,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,90.6,0.0,0.01,0.0,22.0,0.0,0.0,0.0,0.0,1.3,23.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,100.0,0.0,0.9,0.0,0.0,450.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,3.5,0.0,0.2,0.0,0.9,0.2,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.31,10.0,0.0,26.0,24.0,0.0,4.9
olio di oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.45,8.84,16.16,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,7.85,0.99,0.0,0.0,73.63,13.67,0.82,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,18.5,18.0,0.0,900.0,900.0,0.0,0.0
"limone, scorza",0.5,13.0,0.0,0.7,0.0,0.0,0.0,0.01,0.09,0.04,0.0,206.0,0.0,0.0,0.0,0.0,171.0,0.0,0.06,0.03,0.0,0.0,0.01,0.04,0.0,0.32,0.0,81.6,0.0,0.0,90.0,134.0,19.0,5.0,0.0,53.0,10.6,12.0,1.8,0.0,144.0,1.8,0.0,0.3,15.0,0.0,0.03,0.4,100.0,79.0,1.5,0.5,41.0,6.0,30.0,21.0,0.17,129.0,0.25,12.0,0.0,0.0,0.0,4.2,0.0,0.3,0.0,1.5,0.8,160.0,41.0,38.0,21.0,54.0,21.0,9.0,0.09,75.0,88.0,0.06,0.08,0.25,30.0,0.0,50.0,29.0,0.0,5.4
"uovo di gallina, intero",20.0,50.0,53.0,5.8,2.5,1.75,0.0,2.58,1.26,3.17,0.16,1209.0,0.0,0.0,0.0,0.0,1508.0,0.0,1.06,0.04,0.03,0.0,2.35,1.9,0.23,1.77,1.21,77.1,0.0,0.0,767.0,48.0,323.0,160.0,371.0,662.0,0.0,210.0,0.0,0.0,416.0,0.0,0.0,8.7,13.0,0.0,0.0,0.1,87.0,496.0,12.4,0.0,842.0,137.0,503.0,623.0,0.12,0.0,1.2,180.0,0.0,0.0,0.0,0.0,8.7,0.0,12.4,0.0,1.5,133.0,657.0,1041.0,437.0,823.0,298.0,197.0,0.06,880.0,719.0,0.09,0.3,1.11,84.0,0.0,128.0,128.0,211.0,0.0
porri,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.8,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,2.9,57.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,77.0,0.0,2.1,0.0,0.0,9.0,0.0,0.0,0.64,9.0,0.2,0.0,0.0,0.0,0.0,5.2,0.0,0.1,0.0,2.1,0.8,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,1.22,0.0,0.0,35.0,29.0,0.0,5.2
cetrioli,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.23,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,96.5,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.6,17.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6,77.0,0.0,0.7,0.0,0.0,13.0,0.0,0.0,0.04,11.0,0.09,0.0,0.0,0.0,0.0,1.8,0.0,0.5,0.0,0.7,0.3,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.07,0.0,0.0,15.0,14.0,0.0,1.8
frutta fresca estiva ns,0.5,4.0,3.0,0.6,0.0,0.0,4.28,0.02,0.04,0.02,0.0,93.0,0.0,0.0,0.0,0.0,136.0,0.0,0.03,0.01,0.0,0.0,0.02,0.02,0.0,0.16,0.0,89.6,0.0,0.0,25.0,14.0,6.0,13.0,0.0,17.0,1.2,14.0,2.4,0.0,17.0,2.2,0.0,0.1,9.0,0.0,0.06,0.47,75.0,23.0,0.7,2.4,32.0,4.0,15.0,21.0,0.07,13.0,0.26,8.0,0.0,0.0,0.0,7.2,0.0,0.1,0.0,0.7,0.4,281.0,14.0,24.0,10.0,29.0,15.0,3.0,0.09,29.0,47.0,0.03,0.03,0.43,618.0,0.0,33.0,31.0,0.0,7.2
birra scura speciale (5.3 - 6.0 %vol),1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,93.3,4.7,0.0,12.0,4.0,4.0,17.0,0.0,8.0,0.0,26.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,1.5,0.0,0.8,100.0,40.0,0.4,0.0,7.0,6.0,20.0,7.0,0.08,0.0,0.0,12.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.4,0.2,48.0,7.0,8.0,1.0,12.0,7.0,4.0,0.0,9.0,15.0,0.0,0.03,0.0,0.0,0.0,40.0,40.0,0.0,1.5
"bovino, vitellone, 15-18 mesi, fesa, senza grasso visibile",1.0,16.0,6.0,3.0,2.0,0.5,0.0,0.59,0.36,0.6,0.05,2115.0,0.0,0.02,0.04,0.04,3717.0,0.0,0.17,0.03,0.04,0.03,0.45,0.31,0.05,0.81,0.22,75.2,0.0,0.05,1308.0,4.0,238.0,52.0,60.0,889.0,0.0,214.0,0.0,0.0,1083.0,0.0,0.0,1.8,18.0,0.0,0.0,6.3,100.0,896.0,21.8,0.0,892.0,41.0,772.0,889.0,0.57,0.0,3.9,210.0,0.0,0.0,0.0,0.0,1.8,0.0,21.8,0.0,1.8,342.0,942.0,1875.0,626.0,1053.0,841.0,244.0,0.05,1984.0,1341.0,0.15,0.26,0.15,0.0,0.0,103.0,103.0,0.0,0.0
ostrica,10.0,10.0,60.0,23.0,17.0,0.54,0.0,0.21,0.19,0.17,0.04,984.0,0.0,0.04,0.09,0.04,1387.0,0.0,0.02,0.01,0.02,0.0,0.05,0.1,0.05,0.37,0.06,85.7,0.0,0.0,744.0,186.0,134.0,820.0,150.0,366.0,0.0,267.0,0.0,0.0,638.0,0.5,0.0,0.9,42.0,0.0,0.33,1.5,12.0,417.0,10.2,0.0,457.0,510.0,326.0,439.0,0.16,0.0,45.0,300.0,0.06,0.0,5.0,0.5,0.9,0.0,10.2,0.0,6.0,260.0,444.0,718.0,230.0,446.0,195.0,114.0,7.5,762.0,617.0,0.1,0.2,0.59,0.0,0.0,69.0,69.0,75.0,5.4
barbabietole rosse,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,82.0,0.0,1.1,0.0,0.0,84.0,0.0,0.0,0.02,7.0,0.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.1,0.4,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,25.0,19.0,0.0,4.0
"tonno sott'olio, sgocciolato",3.0,5.0,14.0,90.0,5.0,3.37,0.0,4.22,3.95,1.94,0.0,2348.0,0.0,0.08,0.0,0.0,3285.0,0.0,3.77,0.09,0.0,0.0,4.22,1.76,0.0,0.32,0.18,62.3,0.0,0.0,1477.0,7.0,264.0,530.0,65.0,1007.0,0.0,205.0,0.0,0.0,1128.0,0.0,0.0,10.1,33.0,0.0,0.05,10.4,100.0,919.0,25.2,0.0,1095.0,316.0,934.0,1072.0,0.51,0.0,1.1,390.0,0.0,0.0,0.0,0.0,8.2,1.9,25.2,0.0,1.7,301.0,1198.0,2029.0,881.0,1392.0,882.0,280.0,0.2,2441.0,1440.0,0.04,0.11,2.18,0.0,0.0,192.0,192.0,14.0,0.0
patate dolci,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,73.7,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.3,50.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,84.0,0.0,1.2,0.0,0.0,40.0,0.0,0.0,0.09,23.0,0.3,0.0,0.0,0.0,15.6,5.7,0.0,0.3,0.0,1.2,0.7,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,4.56,3930.0,0.0,92.0,87.0,0.0,21.3
funghi porcinelli,0.0,44.0,0.0,0.0,0.0,3.1,0.0,0.0,0.33,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.5,83.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,4.9,70.0,0.0,3.1,0.0,0.0,2.0,0.0,0.0,0.18,7.0,0.1,0.0,0.0,0.0,0.3,1.3,0.0,0.6,0.0,3.1,1.6,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.44,0.12,0.0,0.0,37.0,24.0,0.0,1.6
peperoni sott'aceto,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.04,0.32,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.9,20.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,100.0,0.0,0.8,0.0,0.0,1248.0,0.0,0.0,0.18,16.0,0.2,0.0,0.0,0.0,0.4,1.4,0.0,0.6,0.0,0.8,2.6,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.62,134.0,0.0,19.0,15.0,0.0,1.7
