,acidi grassi saturi totali | g,acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,biotina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0÷c10:0 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",carboidrati disponibili | g,carboidrati | %,cistina | g,cloro | g,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,folati totali | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,ß-carotene equivalente | g
coppa parma,10.98,0.0,0.35,2.2840000000000003,0.0,0.0,0.0,0.42,0.0,0.0,3.597,3.597,0.0,4.05,0.29,0.46,0.0,13.78,6.57,0.9,0.00157,3.95,36.9,1.42,0.0,0.0,0.0,0.0,1.436,6e-06,0.0,0.46,0.0,6.57,0.9,3.95,13.78,4.05,0.29,0.0,0.42,0.35,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,398.0,398.0,0.6,1.0,0.281,0.061,0.096,0.961,0.0019,0.0,0.0,0.0,5e-06,0.18,0.0,0.0,1.19,0.6,0.1,5e-06,1.138,0.805,0.0,1.939,33.5,33.5,0.0,75.0,2.1,0.023,0.0,1e-05,0.588,15.1,0.0054199999999999995,100.0,4.69,0.433,0.9640000000000001,23.6,23.6,0.0,24.0,0.00016,0.4,0.000225,0.0,10.98,1.5e-05,0.938,1.524,0.0,0.00014,0.81,1.067,0.27399999999999997,1.247,0.0,1e-06,0.00028000000000000003,0.0,1.1e-06,2.9999999999999997e-05,0.0,0.0035,0.18,0.6,0.0
oca,9.39,0.0,0.0,1.421,0.0,0.0,0.0,0.0,0.0,0.0,,2.349,0.0,3.93,0.19,0.19,0.0,17.1,7.41,1.43,0.00129,1.79,49.1,0.973,0.0,0.0,0.0,0.0,0.983,3e-06,0.0,0.19,0.0,7.41,1.43,1.79,17.1,3.93,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,373.0,373.0,0.0,0.0,0.24600000000000002,0.055999999999999994,0.08,0.662,0.0018000000000000004,0.0,0.0,0.0,8e-06,0.19699999999999998,0.0,0.0,1.001,0.0,,6e-06,0.743,0.44,0.0,1.325,34.4,34.4,0.0,83.0,1.249,0.017,0.0,0.0,0.382,18.6,0.0064,70.0,4.12,0.406,0.763,15.8,15.8,0.0,17.0,0.00014,0.4,0.0002,0.0,9.39,1.4000000000000001e-05,0.63,0.12,0.0,7.000000000000001e-05,0.506,0.705,0.206,0.774,8.999999999999999e-05,2e-06,0.00035,0.0,5e-07,5e-05,0.0,0.0017,0.14,0.0,0.0
merluzzo,0.06,0.0,0.01,1.86,0.0,0.08,0.03,0.0,0.0,0.0,2.7510000000000003,2.7510000000000003,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.00027,0.01,81.5,1.161,0.0,0.0,0.0,0.0,1.147,1e-06,0.0,0.01,0.0,0.05,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.08,0.0,0.025,71.0,71.0,0.0,0.0,0.204,0.076,0.05,0.88,0.0007,0.0,0.0,0.0,1.2e-05,0.19399999999999998,0.0,0.0,0.8130000000000001,0.0,0.1,0.00011,0.8160000000000001,0.512,0.0,1.484,0.3,0.3,0.0,4.0,1.775,0.02,0.0,1e-05,0.588,0.07,0.0022,76.0,0.12,0.32,0.682,17.0,17.0,0.0,96.0,0.0003,2.0,8e-05,0.0,0.06,1.6499999999999998e-05,0.868,0.077,0.0,5e-05,0.682,0.9,0.195,0.91,0.0,1e-06,0.00017999999999999998,0.0,0.0,0.00018999999999999998,0.0,0.002,0.2,0.0,0.0
merluzzo surgelato,0.11,0.0,0.01,1.893,0.0,0.15,0.03,0.02,0.02,0.0,,2.8000000000000003,0.0,0.0,0.0,0.01,0.0,0.06,0.08,0.01,0.00027,0.02,80.8,1.181,0.0,0.0,0.02,0.0,1.167,1e-06,0.0,0.01,0.0,0.08,0.01,0.02,0.06,0.0,0.0,0.0,0.02,0.01,0.03,0.0,0.02,0.15,0.0,0.03,75.0,75.0,0.0,0.0,0.208,0.12,0.05,0.8959999999999999,0.0006,0.0,0.0,0.0,6e-06,0.188,0.0,0.0,0.8270000000000001,0.0,,0.00011,0.8300000000000001,0.521,0.0,1.51,0.6,0.6,0.0,7.0,1.806,0.02,0.0,1e-05,0.598,0.125,0.0012,75.0,0.21,0.32,0.6940000000000001,17.3,17.3,0.0,93.0,0.0003,1.9,0.00011999999999999999,0.0,0.11,1.6499999999999998e-05,0.883,0.077,0.0,2.9999999999999997e-05,0.6940000000000001,0.9159999999999999,0.198,0.9259999999999999,0.0,1e-06,0.00017999999999999998,0.0,0.0,0.00044,0.0,0.002,0.2,0.0,0.0
aringa fresca,3.33,0.0,0.1,1.69,0.0,1.01,1.09,2.04,2.69,0.0,,2.463,0.0,0.22,0.19,1.03,0.0,2.35,2.11,1.55,0.00101,0.19,60.1,0.998,0.0,0.0,0.0,0.0,0.988,9e-06,0.0,1.03,0.0,2.11,1.55,0.19,2.35,0.22,0.19,0.0,2.04,0.1,1.09,0.0,2.69,1.01,0.0,0.063,216.0,216.0,0.0,0.0,0.177,0.212,0.085,0.644,0.0009000000000000002,0.0,0.0,0.0,1.1e-05,0.113,0.0,0.0,0.792,0.0,,3.6e-05,0.7609999999999999,0.486,0.0,1.341,16.7,16.7,0.0,69.0,1.516,0.04,0.0,5e-05,0.489,8.63,0.0035,70.0,2.61,0.32,0.583,16.5,16.5,0.0,31.0,0.00016999999999999999,0.8,0.00017999999999999998,0.0,3.33,4.4e-05,0.6729999999999999,0.15,0.0,0.00011999999999999999,0.557,0.723,0.185,0.85,1.2e-05,1.6e-05,0.00055,0.0,3e-05,0.0012,0.0,0.0011,0.15,0.0,0.0
ananas,0.0,0.0,0.0,0.11199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,86.4,0.031,0.0,0.0,0.0,0.0,0.018000000000000002,3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,42.0,40.0,10.0,95.0,0.013,0.028999999999999998,0.0,0.019,0.0005,0.83,0.15,1.0,5e-06,0.008,2.5,0.0,0.022000000000000002,2.0,,0.0,0.018000000000000002,0.009000000000000001,0.0,0.022000000000000002,0.0,0.0,0.0,0.0,0.024,0.016,0.0,0.0005,0.011000000000000001,0.0,0.0002,57.0,0.0,0.25,0.016,0.0,0.5,0.5,5.0,8e-05,,1e-05,5.4,0.0,0.0,0.032,0.002,0.0,5e-05,0.018000000000000002,0.018000000000000002,0.005,0.022000000000000002,3.5000000000000016e-06,0.0,8.999999999999999e-05,0.017,0.0,0.0001,2.1e-07,0.0001,0.003,10.0,4.2e-05
"mandorle dolci, secche",4.59,0.11,0.0,2.4530000000000003,0.0,0.0,0.0,0.0,0.0,0.0,5.3770000000000024,5.3770000000000024,0.0,10.54,0.3,0.05,0.0,39.06,3.48,0.38,0.00044,0.94,5.1,0.9129999999999999,0.0,0.0,0.01,0.8500000000000001,2.1710000000000003,6.4e-05,0.0,0.05,0.0,3.48,0.38,0.94,39.06,10.54,0.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,628.0,603.0,4.6,2.0,0.29,0.018000000000000002,0.0,1.063,0.003,12.04,0.63,12.7,4.8e-05,0.55,0.0,0.0,1.263,0.0,0.038,2e-06,0.843,0.647,0.0,1.45,0.0,55.3,55.3,83.0,0.484,0.264,0.0,0.0017,0.19399999999999998,39.44,0.003,24.0,10.85,0.78,1.058,0.0,22.0,22.0,15.0,0.0009199999999999999,2.4,0.0004,3.7,4.59,1.5e-06,1.047,0.013999999999999999,0.0,0.00022999999999999998,0.618,0.5650000000000001,0.39399999999999996,1.041,5e-07,0.0,0.00015,0.0,0.0,0.026,0.0,0.0025,0.15,3.7,6e-06
seppia,0.43,0.0,0.0,1.351,0.0,0.21,0.21,0.21,0.0,0.0,,1.903,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0006799999999999999,0.21,81.5,0.847,0.0,0.0,0.0,0.0,1.022,0.0,,,,,,,,,,,,,,,,,0.0,0.027000000000000003,72.0,72.0,0.7,3.0,0.184,0.28,0.064,0.503,0.0008,0.0,0.0,0.0,1.3000000000000001e-05,0.14300000000000002,0.0,0.0,0.8759999999999999,0.7,,2e-05,0.609,0.26899999999999996,0.0,0.985,1.5,1.5,0.0,19.0,1.046,0.032,0.0,1e-05,0.316,0.21,0.0009000000000000002,50.0,0.43,0.273,0.5710000000000001,14.0,14.0,0.0,78.0,0.0011,,4e-05,0.0,,6.500000000000001e-05,0.627,0.09699999999999999,0.0,0.00011,0.44799999999999995,0.603,0.157,0.611,2.5e-05,2e-06,0.00039000000000000016,0.0,0.0,0.0012,0.0,0.004200000000000001,0.0,0.7,0.0
"vitello, coratella",1.04,0.0,0.13,1.3519999999999999,0.0,0.02,0.0,0.0,0.0,0.0,,1.985,0.0,0.31,0.02,0.04,0.0,0.69,0.48,0.06,0.0031000000000000003,0.48,78.0,1.176,0.0,0.0,0.03,0.0,1.05,1.1699999999999995e-05,,,,,,,,,,,,,,,,,0.0,0.011000000000000001,100.0,100.0,0.8,3.0,0.28300000000000003,0.107,0.165,0.78,0.0155,0.0,0.0,0.0,8.7e-05,0.244,0.0,0.0,0.954,0.8,,1.4000000000000001e-05,0.8160000000000001,0.507,0.0,1.506,3.2,3.2,0.0,29.0,1.319,0.019,0.0,0.00013000000000000002,0.368,0.97,0.007030000000000001,100.0,0.51,0.35200000000000004,0.63,17.1,17.1,0.0,68.0,0.0011099999999999999,,0.00121,0.0,,2.8300000000000014e-05,0.7959999999999999,0.115,0.0,0.00033999999999999997,0.517,0.738,0.208,1.009,0.004089,3.3e-05,0.00029,0.031,4.1e-07,0.00047999999999999996,0.0,0.0028,0.155,0.8,0.00044
peperoni gialli,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.14,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.017,27.0,28.0,5.9,82.0,0.0,0.0,0.0,0.0,0.0007,,,0.9,2.2e-05,0.027999999999999997,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3,6.0,0.0,0.0055000000000000005,0.0,0.0,0.0,0.02,0.0005,88.0,0.17,0.11699999999999999,0.0,0.0,0.9,0.9,12.0,2.9999999999999997e-05,,7.000000000000001e-05,0.0,,0.0,0.0,0.03,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.151,0.0,0.0006,0.0,0.0005,0.0,5.85,0.0008349999999999999
"agnello, coscio, senza grasso visibile",1.01,0.0,0.09,1.686,0.0,0.0,0.0,0.0,0.0,0.0,,2.77,0.01,0.24,0.01,0.08,0.0,0.81,0.54,0.04,0.0009199999999999999,0.31,76.9,1.28,0.0,0.0,0.01,0.0,1.3459999999999999,2e-06,0.01,0.08,0.0,0.54,0.04,0.31,0.81,0.24,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.01,102.0,102.5,0.0,0.0,0.26,0.07400000000000001,0.07100000000000001,0.794,0.002,0.0,0.0,0.0,6e-06,0.213,0.0,0.0,1.2,0.0,,6e-06,1.038,0.542,0.0,1.5319999999999998,2.5,2.5,0.0,22.0,1.6219999999999999,0.02,0.0,1e-05,0.478,0.86,0.00541,100.0,0.35,0.33799999999999997,0.998,20.0,20.0,0.0,78.0,0.00018999999999999998,0.3,0.0002,0.0,1.01,1.8e-05,0.846,0.068,0.01,0.00016,0.654,0.938,0.254,1.0,0.0,2e-06,0.0003,0.0,4e-07,8.999999999999999e-05,0.0,0.00331,0.21,0.0,0.0
semola,0.12,0.0,0.0,0.22899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,4.181,0.0,0.0,0.29,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,14.0,0.168,0.0,0.0,0.0,71.95,0.20199999999999999,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.05,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,349.0,340.5,77.25,85.0,0.14100000000000001,0.0,0.0,0.281,0.0013000000000000002,,,3.6,2.2e-05,0.165,0.0,0.0,0.17550000000000002,0.0,0.036000000000000004,0.0,0.212,0.118,0.0,0.40650000000000003,0.0,0.5,0.5,1.0,0.12,0.0,0.0,0.0,0.0895,0.055,0.002,100.0,0.255,0.17,0.6325,0.0,11.5,11.5,14.0,0.0,2.0,0.00015,0.0,0.1,0.0,0.2805,0.012,0.0,0.00018999999999999998,0.147,0.1595,0.0565,0.249,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.0006,0.0,1.9,0.0
"maiale, pesante, coscio",1.72,0.0,0.17,2.0869999999999997,0.0,0.0,0.03,0.02,0.0,0.0,,3.023,0.02,0.6,0.03,0.05,0.0,1.87,1.03,0.09,0.00146,0.58,72.9,1.255,0.0,0.0,0.04,0.0,1.2830000000000001,2e-06,0.02,0.05,0.0,1.03,0.09,0.58,1.87,0.6,0.03,0.0,0.02,0.17,0.03,0.0,0.0,0.0,0.0,0.008,128.0,128.0,0.0,0.0,0.245,0.051,0.08900000000000001,0.747,0.0017,0.0,0.0,0.0,3e-06,0.17600000000000002,0.0,0.0,1.051,0.0,,5e-06,1.053,0.708,0.0,1.605,5.1,5.1,0.0,36.0,1.714,0.017,0.0,1e-05,0.551,1.99,0.0038,90.0,0.87,0.37,0.855,20.4,20.4,0.0,64.0,0.00015,0.5,0.00031,0.0,1.72,1.4000000000000001e-05,0.8340000000000001,0.076,0.0,0.00031,0.6509999999999999,0.9179999999999999,0.22399999999999998,1.185,5e-06,1e-06,0.00054,0.0,5e-07,5e-05,0.0,0.0024,0.2,0.0,0.0
cicoria da taglio,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.15,19.0,12.0,1.7,53.0,0.0,0.0,0.0,0.0,0.0015,,,3.6,1.2e-05,0.026,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,89.0,0.04,0.18,0.0,0.0,1.2,1.2,40.0,0.0,,8e-05,0.0,,0.0,0.0,0.006999999999999999,0.0,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0001335,0.0,1e-05,0.008,0.0,0.0022600000000000003,0.0,0.0002,0.0,1.7,0.001602
"pane, tipo 0, pezzatura da 100g",0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.29,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,58.95,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.017,284.0,276.0,63.75,86.0,0.0,0.0,0.0,0.0,0.0007,,,3.8,2.8999999999999997e-05,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0008,100.0,0.31,0.17600000000000002,0.0,0.0,8.1,8.1,12.0,0.0,,5.9999999999999995e-05,0.0,,0.0,0.0,0.4665,0.0,5.9999999999999995e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0009000000000000002,0.0,2.0,0.0
mele fresche - annurche,0.02,0.0,0.0,0.08199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,,0.028999999999999998,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,84.3,0.013,0.0,0.0,0.0,0.0,0.006999999999999999,1.2e-06,,,,,,,,,,,,,,,,,0.0,0.004,45.0,40.0,10.2,95.0,0.001,0.0,0.0,0.008,0.0001,,,2.2,1e-06,0.01,6.1,0.0,0.01,2.6,,0.0,0.006999999999999999,0.006,0.0,0.016,0.0,0.1,0.1,2.0,0.013999999999999999,0.005,0.0,0.0,0.001,0.0,0.0001,84.0,0.03,0.11,0.006999999999999999,0.0,0.3,0.3,3.0,4e-05,,2e-05,1.5,,0.0,0.012,0.001,0.0,2.9999999999999997e-05,0.001,0.006999999999999999,0.001,0.013,0.0,0.0,4e-05,0.006,0.0,0.00059,6e-07,0.0,0.006,10.2,1.5e-05
"struzzo, senza grasso visibile, cotto al forno",0.41,0.0,0.09,2.077,0.0,0.0,0.02,0.0,0.0,0.0,,3.403,0.0,0.24,0.08,0.0,0.0,0.37,0.23,0.05,0.00133,0.18,71.5,1.425,0.0,0.0,0.02,0.0,1.518,1e-06,0.0,0.0,0.0,0.23,0.05,0.18,0.37,0.24,0.08,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.0,0.006,101.0,101.0,0.0,0.0,0.228,0.039,0.07200000000000001,0.9159999999999999,0.004900000000000001,0.0,0.0,0.0,1.6e-05,0.281,0.0,0.0,1.484,0.0,,6e-06,1.055,0.5579999999999999,0.0,1.804,1.4,1.4,0.0,12.0,1.96,0.028999999999999998,0.0,2e-05,0.62,0.42,0.00722,100.0,0.45,0.409,1.157,22.2,22.2,0.0,88.0,0.00017999999999999998,1.1,0.0003,0.0,0.41,4.7e-05,0.888,0.081,0.0,0.00023999999999999998,0.722,0.9740000000000001,0.198,1.097,0.0,6.3e-06,0.00055,0.0,3e-07,0.00022999999999999998,0.0,0.004900000000000001,0.16,0.0,0.0
farina di mais,0.34,0.0,0.0,0.27699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.642,0.0,0.0,1.01,0.18,0.0,0.0,0.62,0.0,0.0,0.0,0.0,12.5,0.325,0.0,0.0,0.0,76.05,0.2025,0.0,0.0,0.0,0.0,0.26,0.0,0.04,0.66,1.39,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,370.0,363.5,81.15,83.0,0.076,0.0,0.0,0.2205,0.0018000000000000004,2.76,0.35,2.85,0.0,0.099,0.0,0.0,0.165,0.0,0.051,0.0,0.17500000000000002,0.1255,0.0,0.514,0.0,2.7,2.7,7.0,0.129,0.0,0.0,0.0,0.0775,0.64,0.0019,100.0,1.2999999999999998,0.13,0.39649999999999996,0.0,8.7,8.7,10.0,0.0,4.5,0.0001,0.0,0.31,0.0,0.21600000000000005,0.001,0.0,0.00035,0.16,0.16699999999999998,0.0305,0.236,3.35e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.5,0.000402
radicchio rosso,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.036000000000000004,18.0,12.5,1.6,48.0,0.0,0.0,0.0,0.0,0.0003,2.37,0.59,3.0,1.3000000000000001e-05,0.03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,72.0,0.05,0.21,0.0,0.0,1.4,1.4,45.0,0.0,,5e-05,0.0,,0.0,0.0,0.0085,0.0,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,0.01,0.0,0.00057,0.0,0.0002,0.0,1.6,0.0
"bovino, vitellone, 15-18 mesi, tagli anteriori, senza grasso visibile",2.2,0.0,0.23,1.964,0.0,0.09,0.09,0.0,0.17,0.0,3.41,3.41,0.0,0.77,0.13,0.15,0.22,1.54,1.14,0.15,0.00074,0.79,72.0,1.286,0.0,0.0,0.24,0.0,1.307,1e-06,0.0,0.15,0.22,1.14,0.15,0.79,1.54,0.77,0.13,0.0,0.0,0.23,0.09,0.0,0.17,0.09,0.0,0.01,145.0,145.0,0.0,0.0,0.231,0.05,0.0625,0.805,0.0013000000000000002,0.0,0.0,0.0,1.5e-05,0.18,0.0,0.0,1.245,0.0,0.083,1e-05,0.8809999999999999,0.7170000000000001,0.0,1.686,7.0,7.0,0.0,43.0,1.817,0.017,0.0,0.0,0.5630000000000001,2.27,0.0048,100.0,1.55,0.29100000000000004,0.958,20.5,20.5,0.0,57.0,5e-05,0.7,0.00015,0.0,2.2,1.7e-05,0.807,0.043,0.0,0.0001,0.67,0.8420000000000001,0.18600000000000005,0.965,0.0,2e-06,0.0005200000000000001,0.0,5e-07,0.00014,0.0,0.00447,0.19,0.0,0.0
sego di bue,48.06,0.0,0.0,0.078,0.0,0.0,0.0,0.29,0.0,0.0,,0.127,0.87,2.99,0.58,3.57,0.0,34.74,24.03,4.05,0.0,18.24,2.0,0.048,0.0,0.0,0.29,0.0,0.052000000000000005,0.0,,,,,,,,,,,,,,,,,0.0,0.0,872.0,872.0,0.0,0.0,0.01,0.004,0.109,0.034,0.0003,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.040999999999999995,0.0,,0.0,0.039,0.025,0.0,0.066,96.5,96.5,0.0,100.0,0.07100000000000001,0.0,0.0,0.0,0.021,40.34,0.0,100.0,3.86,0.0,0.036000000000000004,0.8,0.8,0.0,0.0,8e-05,,0.0,0.0,,0.0,0.033,0.0,0.0,0.0,0.028999999999999998,0.036000000000000004,0.009000000000000001,0.043,0.00022400000000000002,0.0,0.0,0.001,0.0,0.00135,0.0,0.0,0.009000000000000001,0.0,0.0
foglie di rapa,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.16899999999999998,27.0,22.0,2.8,48.0,0.0,0.0,0.0,0.0,0.0027,,,2.4,0.00016299999999999998,0.0485,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0018000000000000004,63.0,0.04,0.249,0.0,0.0,2.6,2.6,48.0,0.0,,0.00037,0.0,,0.0,0.0,0.034,0.0,8e-05,0.0,0.0,0.0,0.0,0.0001495,0.0,0.00022,0.081,0.0,0.00244,0.0,0.0002,0.0,2.8,0.001794
lattuga a cappuccio,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.03,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.053,22.0,19.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0012,1.11,0.18,1.3,7.900000000000001e-05,0.025,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0003,92.0,0.11,0.501,0.0,0.0,1.5,1.5,31.0,0.0,,0.00017999999999999998,0.0,,0.0,0.0,0.006999999999999999,0.0,8e-05,0.0,0.0,0.0,0.0,0.00011850000000000001,0.0,0.00011,0.027000000000000003,0.0,0.00079,0.0,0.0006,0.0,3.0,0.001422
"patate, fecola",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,0.0,82.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,349.0,347.5,91.1,98.0,0.0,0.0,0.0,0.0,0.0003,,,0.0,5.1e-05,0.027000000000000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.58,0.0,0.0,1.4,1.4,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.00026000000000000003,0.0,0.0013000000000000002,0.0,4.55,0.0
tonno,3.35,0.0,0.0,2.215,0.0,2.15,0.8,0.09,0.09,0.0,3.397,3.397,0.0,0.15,0.09,0.31,0.0,0.95,2.71,0.22,0.00086,0.31,61.5,1.376,0.0,0.0,0.01,0.0,1.398,7.000000000000003e-06,0.0,0.31,0.0,2.71,0.22,0.31,0.95,0.15,0.09,0.0,0.09,0.0,0.8,0.0,0.09,2.15,0.0,0.038,159.0,159.0,0.1,0.0,0.172,0.057999999999999996,0.07,1.011,0.0013000000000000002,0.0,0.0,0.0,2e-05,0.264,0.0,0.0,0.9890000000000001,0.1,0.1,3.9e-05,1.161,0.581,0.0,1.871,8.1,8.1,0.0,46.0,2.064,0.026,0.0,2.9999999999999997e-05,0.753,1.51,0.0085,90.0,3.2,0.52,0.753,21.5,21.5,0.0,54.0,2.9999999999999997e-05,1.0,0.00011999999999999999,0.0,3.35,0.00011200000000000001,0.882,0.043,0.0,0.0002,0.86,1.032,0.237,1.247,0.00045,5e-06,0.00049,0.0,1.63e-05,0.00055,0.0,0.0005,0.21,0.1,0.0
