name,acido aspartico | g,acido fitico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,amido | g,aminoacido limitante,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,calcio | g,carboidrati disponibili | g,categoria,cistina | g,codice alimento,colesterolo | g,energia | kj,energia | kcal,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,indice chimico,isoleucina | g,istidina | g,leucina | g,lipidi | g,lisina | g,magnesio | g,metionina | g,niacina | g,nome scientifico,potassio | g,prolina | g,proteine | g,rame | g,rapporto polinsaturi/saturi,riboflavina | g,selenio | g,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,vitamina e | g,zinco | g,zuccheri solubili | g
"aringa, marinata",,0.0,,60.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.03,0.0,Prodotti della pesca,,120320.0,0.097,833.0,199.0,,,0.0,0.0,0.0,0.15,,,,,,14.0,,,,0.0033,Clupea harengus,0.098,,18.3,,,0.00021,,,1.03,5e-05,,,,,4.6e-05,5e-05,,,0.0
capretto,,0.0,,74.8,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.009000000000000001,0.0,Carni Fresche,,104300.0,,510.0,122.0,,0.001,0.0,0.0,0.0,0.22,,,,,,5.0,,,,0.0057,Capra hireus,,,19.2,,,0.0001,,,,0.00025,,,,,,0.0,,,0.0
"albicocche, sciroppate",,0.0,,80.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.019,16.1,Frutta,,7020.0,0.0,263.0,63.0,,0.0002,,,0.9,0.008,,,,,,0.1,,,,0.0003,Prunus armeniaca,0.15,,0.4,,,1e-05,,,0.01,1e-05,,,,,2.6e-05,0.005,,,16.1
tarassaco o dente di leone,,,,87.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.316,3.7,Verdure e Ortaggi,,5470.0,0.0,151.0,36.0,,0.0032,,,0.4,0.065,,,,,,1.1,,,,0.0008,Taraxacum officinale,0.44,,3.1,,,0.00017,,,0.076,0.00019,,,,,0.000992,0.052000000000000005,,,3.7
patè di coniglio,,0.0,,51.7,,0.0,,,,,,,,,,,,,,,,,,,,0.014,1.1,Carni Trasformate e Conservate,,114010.0,,1447.0,346.0,,0.004200000000000001,0.0,0.0,0.0,0.13,,,,,,32.2,,,,,,,,13.0,,,,,,,,,,,,,0.0,,,
trota,1.2630000000000001,0.0,1.945,80.5,0.917,0.0,0.0,Trip.,0.8310000000000001,0.0,0.13,0.0,0.35,0.25,0.22,0.52,0.37,0.1,0.0,0.0,0.05,0.15,0.0,0.0,0.5,0.014,0.0,Prodotti della pesca,0.149,124000.0,0.055,359.0,86.0,0.548,0.002,0.0,0.0,0.0,0.22,0.854,100.0,0.666,0.447,1.028,3.0,1.31,0.025,0.384,0.003,Salmo trutta,0.465,0.557,14.7,,1.7,6e-05,,0.5720000000000001,0.04,8e-05,0.447,0.642,0.162,0.784,5e-08,5e-05,,0.0011899999999999999,0.0
farina d'avena,0.97,,2.633,9.0,0.5670000000000001,0.0,59.2,Lis.,0.794,,,,,,,,,,,,,,,,,0.08,72.3,Cereali e Derivati,0.34,200.0,0.0,1613.0,385.0,0.63,0.004200000000000001,,,7.6,0.342,0.592,64.0,0.47900000000000004,0.265,0.92,7.1,0.466,,0.214,0.0024,Avena sativa,0.37,0.655,12.6,,,0.00017,,0.592,0.033,0.0005200000000000001,0.41600000000000004,0.41600000000000004,0.185,0.643,0.0,,,,7.2
"uova di oca, intero",,0.0,,69.7,,0.0,0.0,,,0.0,0.05,0.0,2.85,0.39,0.7,5.35,0.68,0.55,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.052000000000000005,1.0,Uova,,185010.0,,789.0,189.0,,0.0026000000000000003,0.0,0.0,0.0,0.2,,,,,,14.4,,,,0.0001,,,,13.8,,0.4,0.0003,,,,0.0001,,,,,0.00033,0.0,,,1.0
"patate novelle, cotte [in forno a microonde senza aggiunta di acqua e di sale]",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Verdure e Ortaggi,,6584.0,0.0,,,,,,,1.4,,,,,,,,,0.021,,,Solanum tuberosum,,,,0.00017,,,1e-06,,,,,,,,5e-08,,,0.00086,
litchi,,,,80.6,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.002,17.2,Frutta,,7580.0,0.0,292.0,70.0,,0.0005,,,1.3,,,,,,,0.1,,,,0.0005,Litchi chinensis,0.15,,1.1,,,7.000000000000001e-05,,,0.001,5e-05,,,,,,0.049,,,17.2
"maiale, pesante, spalla",,0.0,,70.6,,0.0,0.0,,,0.06,0.11,0.0,1.77,0.16,1.0,3.29,1.33,0.1,0.0,0.09,0.18,0.02,0.0,0.0,0.0,0.006,0.0,Carni Fresche,,105800.0,0.083,653.0,156.0,,0.0012,0.0,0.0,0.0,0.15,,,,,,8.9,,,,0.003,Sus scrofa domestica,0.22,,19.0,,0.5,0.00034,,,0.073,0.00026000000000000003,,,,,6e-06,0.0,,,0.0
mozzarella di vacca,1.1500000000000001,0.0,3.0,58.8,0.53,0.0,0.0,Treo.,0.55,,,,,,,,,,,,,,,,,0.35000000000000003,0.7,Formaggi e latticini,0.14,164820.0,0.046,1058.0,253.0,0.8200000000000001,0.0004,0.0,0.0,0.0,0.35000000000000003,0.33,85.0,0.48,0.46,1.4000000000000001,19.5,1.2,0.01,0.5700000000000001,0.0004,,0.145,1.6500000000000001,18.7,,,0.00027,2.4999999999999998e-06,0.9,0.2,3e-05,0.88,0.54,0.18,0.63,0.00021899999999999998,0.0,0.00039000000000000005,0.0026000000000000003,0.7
baba' al rhum,,,,49.4,,0.05,20.6,,,,,,,,,,,,,,,,,,,0.022,41.2,Dolci,,207010.0,,960.0,229.0,,0.0023,,,,0.04,,,,,,5.7,,,,,,,,5.9,,,,,,,,,,,,,,,,18.5
"arachidi, tostate",3.736,1.7,5.9670000000000005,2.3,1.2630000000000001,0.0,4.9,Lis.,3.68,0.0,0.23,0.0,5.06,0.0,1.28,22.53,13.74,0.45,0.56,0.52,0.0,0.0,0.0,0.0,0.0,0.064,8.5,Frutta,0.39,8500.0,0.0,2502.0,598.0,1.598,0.0035,9.89,1.03,10.9,0.28300000000000003,1.856,68.0,1.086,0.772,2.092,50.0,1.1500000000000001,0.17500000000000002,0.334,0.014,Arachis hypogaea,0.68,1.478,29.0,0.001,2.0,8e-05,,1.428,0.006,0.00016,1.349,0.884,0.318,1.4040000000000001,0.0,0.0,,0.0035,3.1
