name,"acidi grassi, monoinsaturi | g","acidi grassi, polinsaturi | g","acidi grassi, saturi | g",acido ascorbico (vit. c) | g,acido folico (vit. b9 o m o folacina) | g,acido pantotenico (vit. b5) | g,alpha-tocoferolo (vit. e) | g,amido | g,beta-sistosterolo | g,betaina | g,caffeina | g,calcio | g,calorie | kcal,campesterolo | g,carboidrati | g,"carotene, alfa | g","carotene, beta | g",category,cobalamina (vit. b12) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fibre | g,fillochinone (vit. k) | g,fitosteroli | g,fluoro | g,"folati, totali | g",folato alimentare | g,fosforo | g,galattosio | g,grassi | g,lattosio | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,niacina (vit. b3) | g,piridossina (vit. b6) | g,potassio | g,proteine | g,rame | g,retinolo (vit. a) | g,riboflavina (vit. b2) | g,selenio | g,sodio | g,stigmasterolo | g,teobromina | g,tiamina (vit. b1) | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g","vitamina e, aggiunta | g",zinco | g
danone - actimel ciliegia,,,,,,,,,,,,,73.0,,11.8000001907349,,,latticini e uova,,,,,,0.0,,,,,,,,1.20000004768372,,,,,,,,,2.70000004768372,,,,,,,,,,,,,,
granarolo linea granarolo - latte granarolo uht parzialmente scremato,,,,,,,,,,,,0.12,45.0,,4.9499998092651385,,,latticini e uova,,,,,,,,,,,,,,1.60000002384186,,,,,,,,,3.1500000953674303,,,,,,,,,,,,,,
nestle mio - cremoso con frutta frullata pera,,,,,,,,,,,,,102.0,,16.0,,,dolci,,,,,,,,,,,,,,2.70000004768372,,,,,,,,,3.4000000953674303,,,,,,,,,,,,,0.0015099999904632602,
succo di pomodoro con aggiunta di sale,,,,,,,0.00032,,,,0.0,,17.0,,,0.0,0.00027,verdure,,0.0,0.0068,0.0,,,2.2999999999999996e-06,,,,,,,,,0.009037,5.9999999999999995e-05,,,,,,,,,,,,,0.0,,1e-05,0.0,2e-05,,0.0,
algida cornetto soft stracciatella,,,8.0,,,,,,,,,,190.0,,25.0,,,dolci,,,,,,1.5,,,,,,,,9.0,,,,,,,,,3.5,,,,,0.06,,,,,,,,,
danone - vitasnella fiocchi di latte,,,,,,,,,,,,,92.0,,2.2000000476837203,,,latticini e uova,,,,,,,,,,,,,,3.9000000953674303,,,,,,,,,11.8999996185303,,,,,,,,,,,,,,
"lombo di agnello, cotto",,,,,,,0.00013000000000000002,,,,0.0,,316.0,,,0.0,0.0,"agnello, vitello, cacciagione",,0.1,0.0938,0.0,,,4.8e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
nestle - buitoni torta alle carote con yogurt buitoni,,,1.5,,,,,,,,,,357.0,,49.5999984741211,,,prodotti da forno,,,,,,1.0,,,,,,,,15.6000003814697,,,,,,,,,4.5,,,,,0.21,,,,,,,,,
gallina,,,,0.0017,,,,,,,,,110.0,,,,,pollo,3.7e-07,0.063,,,,,,,,6e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestle - buitoni pasta frolla sottile buitoni,,,11.0,,,,,,,,,,444.0,,50.2000007629395,,,cereali e pasta,,,,,,1.89999997615814,,,,,,,,24.7999992370605,,,,,,,,,5.09999990463257,,,,,0.03,,,,,,,,,
nestle - baby omogeneizzato di prosciutto,,,,,,,,,,,,,75.0,,4.5,,,cibi per bambini,,,,,,,,,,,,,,3.0,,,,,,,,,7.5,,,,,,,,,,,,,,
galbusera colcuore cracker,2.5,5.400000095367429,1.39999997615814,,,,,65.1999969482422,,,,,397.0,,67.1999969482422,,,prodotti da forno,,0.0005,,,,8.0,,,,,,,,9.30000019073486,,,,,,,,,11.0,,,,,0.7000000000000001,,,,,,,,,
valsoia snack baci di dama,,,,,,,,,,,,,503.0,,58.0,,,soia,,,,,,3.0,,,,,,,,27.0,,,,,,,,,7.0,,,,,,,,,,,,,,
granarolo linea granarolo - besciamella uht,,,,,,,,,,,,,155.0,,13.0,,,latticini e uova,,,,,,,,,,,,,,10.0,,,,,,,,,3.29999995231628,,,,,,,,,,,,,,
valsoia yosoi fragola,,,,,,,,,,,,,81.0,,13.8999996185303,,,soia,,,,,,1.39999997615814,,,,,,,,1.5,,,,,,,,,3.0,,,,,,,,,,,,,,
grasso di oca,,,,0.0,,,0.0027,,,,,,900.0,,,,,grassi e olii,0.0,0.1,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
granarolo linea granarolo - burro piacere da gustare,,,,,,,,,,,,,744.0,,0.699999988079071,,,latticini e uova,,,,,,,,,,,,,,82.0,,,,,,,,,0.400000005960464,,0.00077,,,,,,,,,,,,
ferrero estathé pesca - confezione 3 bicchieri,,,,,,,,,,,,,44.0,,11.0,,,bevande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marshmallow,,,,,,,0.0,,,,0.0,,318.0,,,0.0,0.0,dolci,,0.0,0.0001,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
nestle - baby crema di riso mio,,,,,5.9999999999999995e-05,,,,,,,,381.0,,85.25,,,cibi per bambini,,,,,,,,,,,,,,0.8999999761581421,,,,,,,,,8.0,,,,,0.028,,,,,,,,,
nestle - baby fiocchi di cereali integrali,,,,,,,,,,,,,362.0,,72.5,,,cibi per bambini,,,,,,7.0,,,,,,,,2.5,,,,,,,,,12.3000001907349,,,,,,,,,,,,,,
bottatrice,,,,0.0,,,,,,,,,90.0,,,,,pesci,8e-07,0.06,,,,,,,,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
colussi - sapori - divisione salutistica - bjorg soja calcio delice,,,0.400000005960464,,,,,,,,,,58.0,,5.1999998092651385,,,soia,,,,,,1.79999995231628,,,,,,,,2.4000000953674303,,,,,,,,,3.79999995231628,,,,,0.06,,,,,,,,,
cioccolato al latte con arachidi,,,,,,,0.0024,,,,0.014,,519.0,,,0.0,0.0,dolci,,0.009000000000000001,0.047799999999999995,0.0,,,4e-06,,,,,,,,,0.0,4e-06,,,,,,,,,,,,,0.145,,,,,,0.0,
parmalat fibresse - latte,,,0.6000000238418579,,,,,,,,,0.12,41.0,,4.90000009536743,,,latticini e uova,,,,,,1.20000004768372,,,,,,,,1.0,,,,,,,,,3.20000004768372,,,,,0.05,,,,,,,,,
cocomero,,,,,,,5e-05,,,,0.0,,30.0,,,0.0,0.000303,frutta e succhi,,0.0,0.0040999999999999995,7.8e-05,,,1e-07,0.002,,,,,,,,0.004532,8e-06,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,
