name,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,"acidi grassi, trans | g","acidi grassi, trans-monoenoici | g","acidi grassi, trans-polienoico | g",acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido folico (vit. b9 o m o folacina) | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,alpha-tocoferolo (vit. e) | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,beta-sistosterolo | g,betaina | g,biotina | g,c0:0 | g,c0:1 | g,"c0:2 n-6 c,c | g",c0:3 n-3 | g,c0:3 n-6 | g,c0:3 not further defined | g,c0:4 not further defined | g,c0:5 n-3 | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c1:5 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c2:0 | g,c2:1 c | g,c2:1 not further defined | g,c2:1 t | g,c2:4 | g,c2:5 n-3 | g,c2:6 n-3 | g,c3:0 | g,c4:0 | g,c4:0÷c10:0 | g,c4:1 c | g,c4:1 | g,c5:0 | g,c5:1 | g,c6:0 | g,c6:1 c | g,c6:1 not further defined | g,c6:1 t | g,c7:0 | g,c7:1 | g,c8:0 | g,c8:1 c | g,c8:1 not further defined | g,c8:1 t | g,c8:2 clas | g,c8:2 i | g,"c8:2 n-6 c,c | g",c8:2 not further defined | g,c8:2 t not further defined | g,"c8:2 t,t | g","c8:3 n-3 c,c,c | g","c8:3 n-6 c,c,c | g",c8:3 not further defined | g,c8:3i | g,c8:4 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",campesterolo | g,carboidrati disponibili | g,carboidrati | %,"carotene, alfa | g",ceneri | g,cistina | g,cloro | g,colecalcifenolo (vit. d) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",destrosio | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fibre | g,fitosteroli | g,fluoro | g,folati totali | g,folato alimentare | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,grassi | g,idrossiprolina | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,licopene | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,luteina + zeaxantina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,retinolo equivalente | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",stigmasterolo | g,tiamina | g,tirosina | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,"vitamina b-12, aggiunta | g",vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,vitamina d2 | g,vitamina d3 | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,zuccheri | g,ß-carotene equivalente | g
sperlano,0.6409999999999999,0.885,0.452,,,,,,1.805,,,,,,,0.0,2.6319999999999997,,,,,,,,,,0.000638,,78.77,1.0659999999999998,,,0.0005,,,1.055,,,,0.0,0.027999999999999997,,,,,0.055,0.275,,,,,,,,,,,,,,,,,,0.002,,0.001,,,0.018000000000000002,0.418,,0.0,,,,,,0.0,,0.19899999999999998,,,,0.0,,0.40700000000000003,,,,,0.045,,,,,0.049,,0.025,0.06,,97.04,,0.0,,0.0,1.4,0.189,,7.75e-07,0.07,0.065,0.0,,0.6880000000000001,0.0009000000000000002,,,,0.0,,,4e-06,4e-06,0.23,,,0.846,,2.42,,,,0.812,0.519,,1.433,0.0,,,,,1.619,0.0,0.03,,0.0007,0.522,,0.00145,,,0.29,0.623,,17.63,,,0.00013900000000000002,,1.4999999999999999e-05,0.00012,,,3.65e-05,0.7190000000000001,0.06,,,1e-05,0.595,,,,0.773,0.197,0.908,1.4999999999999999e-05,0.0,3.44e-06,0.00015,0.0,8e-07,,8e-07,0.0,1e-07,0.00165,,,0.0,0.0
acqua di cocco,0.008,0.002,0.17600000000000002,,,,,,0.07,,,,,,,0.0,0.165,,,,,,,,,,4.3e-05,,94.99,0.037000000000000005,,,0.0,,,0.11800000000000001,,,,0.011000000000000001,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.08800000000000001,,0.0,,,0.0,0.0,,0.0,,,,,,0.001,,0.0,,,,0.013999999999999999,,0.008,,,,,0.002,,,,,0.0,,0.0,0.024,,18.88,,3.71,,0.0,0.39,0.014,,0.0,0.0,0.0011,0.0,,0.037000000000000005,0.00029,,,,1.1,,,3e-06,3e-06,0.02,,,0.034,,0.2,,,,0.028,0.017,,0.053,0.0,,,,,0.032,0.0,0.025,,0.00014199999999999998,0.013000000000000001,,8e-05,,,0.25,0.03,,0.72,,,4e-05,,0.0,5.7e-05,,,1e-06,0.037000000000000005,0.105,,,3e-05,0.022,,,,0.026000000000000002,0.008,0.044,0.0,0.0,0.0,3.2e-05,0.0024,0.0,,,0.0,0.0,0.0001,,,2.61,0.0
pancia di maiale,24.7,5.65,19.33,,,,,,,,,,,,,0.0,,,,,,,,,,,0.000256,,36.74,,,,0.00039000000000000016,,,,,,,0.04,0.43,,,,,0.14,0.0,,,,,,,,,,,,,,,,,,0.06,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,1.5,,,,0.0,,22.77,,,,,5.03,,,,,0.48,,0.0,0.005,,517.93,,0.0,,0.0,0.49,,,,0.07200000000000001,,0.0,,,0.0005200000000000001,,,,0.0,,,1e-06,1e-06,0.108,,,,,53.01,,,,,,,,0.0,,,,,,0.0,0.004,,6e-06,,,0.004647,,,0.185,,,9.34,,,5.2000000000000004e-05,,3e-06,0.000242,,,8e-06,,0.032,,,0.000396,,0.0,0.0,8e-05,,,,3e-06,0.0,8.399999999999998e-07,0.00013000000000000002,0.0003,,,,0.0,0.0,0.00102,,,0.0,0.0
granarolo - alta qualità latte fresco granarolo alta qualità,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,3.3499999046325697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestle - buitoni cappelletti al prosciutto crudo buitoni,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,,41.2999992370605,,,,,,,,,,,,,,,,2.2000000476837203,,,,,,,,,,7.199999809265139,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2.2000000476837203,
barilla - mulino bianco liberi per natura - fiori d'acqua,,,1.1000000238418601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.0,,75.5999984741211,,,,,,,,,,,,,,,,2.5,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,3.0,
cioccolato fondente amaro,16.105,1.555,32.351,,,,,,1.27,,,,,,,0.0,1.87,,,,,,,,,,0.00016800000000000002,,1.34,0.475,,,0.0004,,,0.8150000000000001,0.085,0.0026000000000000003,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.1,,0.1,0.0,0.0,15.994000000000002,16.031,0.0,,,,1.4369999999999998,,,0.11699999999999999,0.0,0.11699999999999999,,0.0,0.101,,501.2,0.013000000000000001,29.84,,0.0,3.6,0.225,,0.0,0.0,0.045700000000000005,0.0,,0.525,0.0174,,,,16.6,,,2.8000000000000013e-05,2.8000000000000013e-05,0.4,,,0.505,,52.31,0.0,,,0.41,0.215,,0.6950000000000001,0.0,,,,,0.47,3.8e-05,0.327,,0.0041670000000000006,0.14,,0.001355,,,0.8300000000000001,0.88,,12.9,,,0.003233,,0.0,0.0001,,,8.099999999999999e-06,0.53,0.024,,0.038,0.000147,0.425,0.0,0.0,0.00583,0.37,0.13,0.655,0.0,0.0,0.0,2.7000000000000002e-05,0.0,0.0,,,0.0,9.699999999999999e-06,0.00963,,,0.91,0.0
agnesi pasta di semola pastine emotion fili d'oro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.0,,71.8000030517578,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carne di orso polare (alaska),2.0,0.46,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.01,,,0.017,,130.26,,0.0,,,1.0,,,,,,,,,0.0061,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,0.004,,,0.04,,,25.6,,,,,,0.0005729999999999999,,,,,,,,2.3e-05,,,,,,,,0.00042,,,,0.002,,,,,,,,,,
"snack salato uova e pancetta, per l'infanzia",2.207,0.6409999999999999,1.64,,,,,,,,,,,,,0.0,,,,,,,,,,,0.001105,,85.9,,,,,,,,,,,0.005,0.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,,,0.004,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.168,,,,0.0,,2.0380000000000003,,,,,0.546,,,,,0.051,,0.0,0.028,,79.11,,6.2,,,0.4,,,,0.094,,,,,0.00047,,,,0.9,,,4e-06,4e-06,0.05,,,,,5.0,,,,,,,,,,,,,,,0.005,,,,,0.000266,,,0.035,,,2.5,,,2e-05,,2.8000000000000013e-05,7.7e-05,,,,,0.048,,,5e-05,,,,,,,,2.8199999999999998e-05,,9e-08,2.6000000000000002e-05,0.0009000000000000002,,,,,,0.00027,,,,
cumino,7.125,3.272,0.62,,,,,,2.084,,,,,,,0.0,3.1689999999999996,,,,,,,,,,,,9.87,0.914,,,0.0025,,,1.252,,,,0.01,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.01,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.09,,,,0.0,,7.035,,,,,3.122,,,,,0.15,,0.0,0.6890000000000001,,332.94,,49.9,,8e-06,5.87,0.329,,0.0,0.0,0.0247,1.6e-05,,0.867,0.01623,,,,38.0,0.076,,1e-05,1e-05,0.5680000000000001,,,1.3219999999999998,,14.59,,,,0.8260000000000001,0.55,,1.218,2e-05,,,,,1.031,0.000454,0.258,,0.0013000000000000002,0.361,,0.0036060000000000003,,,1.351,0.917,,19.77,,,0.00091,,0.0,0.000379,,,1.21e-05,0.946,0.017,,,0.000383,0.642,,,,0.7559999999999999,0.244,1.037,0.0001089,0.0,0.0,0.00036,0.021,0.0,,,0.0,0.0,0.0055,,,0.64,0.000206
crostini di pane,0.165,0.557,0.145,,,,,,0.5640000000000001,,,,,,,2.5e-05,2.16,,,,,,,,,,0.000676,,6.1,0.342,,,0.0008100000000000001,,,0.366,,,,0.0,0.006,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.012,,,,0.0,,0.146,,,,,0.479,,,,,0.079,,0.0,0.031,,365.92,,82.2,,0.0,2.4,0.155,,0.0,0.0,0.0202,0.0,,0.403,0.0024300000000000003,,,,16.5,,,4.7e-05,2.2e-05,0.269,,,0.31,,1.3,,,,0.318,0.179,,0.556,0.0,,,,,0.3,0.000194,0.078,,0.002475,0.121,,0.0010400000000000001,,,0.319,0.8220000000000002,,7.9,,,0.000255,,0.0,0.000145,,,3.66e-05,0.431,0.453,,,0.000243,0.168,,,,0.28500000000000003,0.092,0.404,0.0,0.0,0.0,0.00021,0.0,0.0,,,0.0,6e-06,0.00239,,,1.07,0.0
"barbabietole rosse, lesse e salate",0.035,0.064,0.027999999999999997,,,,,,0.121,,,,,,,0.0,0.446,,,,,,,,,,0.000145,,87.06,0.063,,,4e-05,,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,0.057999999999999996,,,,,0.005,,,0.016,,44.46,,9.96,,0.0,1.12,0.02,,0.0,0.0,0.0063,0.0,,0.048,0.00079,,,,2.0,,,7.999999999999999e-05,7.999999999999999e-05,0.038,,,0.033,,0.18,,,,0.05,0.022,,0.07100000000000001,0.0,,,,,0.06,0.0,0.023,,0.000326,0.019,,0.000331,,,0.305,0.043,,1.68,,,7.400000000000001e-05,,0.0,4e-05,,,7e-07,0.062,0.28500000000000003,,,2.7000000000000002e-05,0.04,,,,0.049,0.02,0.059000000000000004,1.05e-05,0.0,0.0,6.7e-05,0.0036000000000000008,0.0,,,0.0,2e-07,0.00035,,,7.96,2.1e-05
"amarene in barattolo, con sciroppo",0.025,0.027999999999999997,0.021,,,,,,,,,,,,,0.0,,,,,,,,,,,0.000105,,69.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,0.013999999999999999,,,,,0.013999999999999999,,,0.01,,114.01,,29.23,,,0.24,,,0.0,0.0,,,,,0.00126,,,,0.8,,,7.000000000000003e-06,7.000000000000003e-06,0.009000000000000001,,,,,0.09,,,,,,,,,,,,,,,0.005,,7.000000000000001e-05,,,0.00016299999999999998,,,0.091,,,0.71,,,6.500000000000001e-05,,0.0,3.8e-05,,,,,0.006999999999999999,,,1.6e-05,,,,,,,,0.0002088,,0.0,4.400000000000001e-05,0.0019,0.0,,,,,6e-05,,,,
giuggiola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,79.11,,20.23,,,0.51,,,,0.0,,,,,0.00048,,,,,,,,,0.023,,,,,0.2,,,,,,,,,,,,,,,0.01,,8.400000000000001e-05,,,0.0009000000000000002,,,0.25,,,1.2,,,7.3e-05,,0.0,4e-05,,,,,0.003,,,2e-05,,,,,,,,1.2e-05,,0.0,8.1e-05,0.069,,,,,,5e-05,,,,
nestle - motta la cremeria - biscotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0,,49.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,5.699999809265139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foglie di vite,0.081,1.065,0.336,,,,,,,,,,,,,0.0,,,,,,,,,,,0.000231,,73.32,,,,0.002,,,,0.02,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.003,0.01,,0.0,,0.035,,0.002,,0.0,,0.039,,,,,0.14800000000000002,,,,,0.856,,0.0,0.363,,93.21,,17.31,,0.000629,1.65,,,0.0,0.0,0.0128,9e-06,,,0.00263,,,,11.0,0.021,,8.3e-05,8.3e-05,0.091,,,,,2.12,,,,,,,,0.0,,,,,,0.0017469999999999999,0.095,,0.002855,,,0.002362,,,0.272,,,5.6,,,0.00041500000000000017,,0.0,0.000354,,,9.000000000000002e-07,,0.009000000000000001,,0.002,4e-05,,,,,,,,0.0082563,0.0,0.0,0.0004,0.0111,0.0,,,0.0,0.00010859999999999997,0.00067,,,6.3,0.016194
pane con uva passa,2.294,0.679,1.081,,,,,,0.3510000000000001,,,,,,,7.2e-05,2.355,,,,,,,,,,0.00038700000000000003,,33.6,0.267,,,0.00028000000000000003,,,0.362,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.006,,,,0.0,,2.2880000000000003,,,,,0.6409999999999999,,,,,0.038,,0.0,0.066,,273.9,,52.3,,0.0,1.8,0.152,,0.0,0.0,0.0146,0.0,,0.361,0.0029,,,,4.3,,,0.000106,3.4e-05,0.109,,,0.269,,4.4,,,,0.28700000000000003,0.16699999999999998,,0.516,0.0,,,,,0.2,4.4e-05,0.026000000000000002,,0.0005009999999999999,0.128,,0.0034660000000000003,,,0.227,0.8280000000000001,,7.9,,,0.000198,,0.0,0.000398,,,2e-05,0.35700000000000004,0.313,,,0.000339,0.204,,,,0.222,0.083,0.329,0.0,0.0,0.0,6.900000000000001e-05,0.0001,0.0,,,0.0,1.6999999999999996e-06,0.0007199999999999999,,,5.68,0.0
"spalla di agnello, arrosto",8.17,1.62,8.44,,,,,,1.981,,,,,,,0.0,3.266,,,,,,,,,,0.0007,,56.26,1.354,,,0.00014,,,1.337,,0.0116,,0.05,0.0,,,,,0.09,0.0,,,,,,,,,,,,,,,,,,0.08,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.58,,,,0.0,,7.34,,,,,1.19,,,,,0.34,,0.0,0.02,,276.05,,0.0,,0.0,1.21,0.269,,5e-08,0.092,0.0879,0.0,,0.916,0.00197,,,,0.0,,,2.1e-05,2.1e-05,0.184,,,1.099,,19.97,,,,1.086,0.713,,1.751,0.0,,,,,1.988,0.0,0.023,,2.2000000000000006e-05,0.578,,0.00615,,,0.251,0.9440000000000001,,22.51,,,0.00010800000000000001,,0.0,0.00024,,,2.62e-05,0.8370000000000001,0.066,,,8.999999999999999e-05,0.7559999999999999,,,,0.963,0.263,1.215,0.0,0.0,2.64e-06,0.00013000000000000002,0.0,1e-07,,1e-07,0.0,4.599999999999998e-06,0.005229999999999999,,,0.0,0.0
zuccotto fatto in casa,1.5759999999999998,0.649,1.301,,,,,,0.6,,,,,,,2e-05,1.4269999999999998,,,,,,,,,,0.000546,,29.4,0.35000000000000003,,,,,,0.404,,,,0.001,0.011000000000000001,,,,,0.057999999999999996,0.001,,,,,,,,,,,,,,,,,,0.001,,0.001,,,,0.015,,,,,,,,,,0.122,,,,0.001,,1.439,,,,,0.556,,,,,0.019,,,0.042,,297.08,,57.7,,,1.3,0.161,,,0.17,,,,0.374,0.00158,,,,,,,3.9e-05,1.9e-05,0.1,,,0.25,,4.3,,,,0.35000000000000003,0.172,,0.59,,,,,,0.418,,0.009000000000000001,,0.000167,0.192,,0.001204,,,0.141,0.468,,7.3,,,5.5999999999999986e-05,,7.7e-05,0.000301,,,1.85e-05,0.498,0.228,,,0.00015900000000000002,0.277,,,,0.308,0.08900000000000001,0.395,7.739999999999997e-05,,3.7e-07,5.9e-05,0.0,,,,,,0.00059,,,,
"patate rosse, arrosto",0.002,0.043,0.026000000000000002,,,,,,0.537,,,,,,,0.0,0.393,,,,,,,,,,0.00034100000000000005,,76.67,0.07,,,8e-05,,15.15,0.113,,0.0002,,0.001,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.003,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.001,,,,0.0,,0.001,,,,,0.032,,,,,0.01,,0.0,0.009000000000000001,,88.91,,19.59,,0.0,1.29,0.027000000000000003,,0.0,0.0,0.0189,0.0,0.55,0.091,0.0007,,,,1.8,,,2.7e-05,2.7e-05,0.07200000000000001,0.44,0.0,0.064,,0.15,,,,0.07400000000000001,0.039,0.0,0.109,0.0,,,,,0.12,2.7e-05,0.028,0.0,0.00017300000000000006,0.035,,0.0015949999999999998,,,0.545,0.07,,2.3,,,0.000174,,0.0,5e-05,0.45,,,0.083,0.012,,,7.200000000000003e-05,0.054000000000000006,0.0,0.0,0.0,0.075,0.023,0.115,3e-06,,0.0,0.000212,0.0126,0.0,,,,2.8e-06,0.0004,,,1.43,6e-06
pasticiccini danesi al lampone,5.937,1.508,2.826,,,,,,0.3,,,,,,,0.0,1.6030000000000002,,,,,,,,,,0.000634,,27.1,0.191,,,,,,0.209,,,,0.001,0.003,,,,,0.013999999999999999,0.0,,,,,,,,,,,,,,,,,,0.001,,0.0,,,,0.004,,0.001,,,,,,0.0,,0.031,,,,0.0,,5.903,,,,,1.416,,,,,0.075,,,0.046,,370.94,,47.8,,,1.2,0.11800000000000001,,,0.04,,,,0.267,0.00075,,,,1.9,,,1.6e-05,1.6e-05,0.08900000000000001,,,0.17800000000000002,,18.5,,,,0.224,0.11800000000000001,,0.398,,,,,,0.177,,0.015,,0.000253,0.11,,0.000769,,,0.083,0.5429999999999999,,5.4,,,6.500000000000001e-05,,5.9999999999999995e-05,9.2e-05,,,,0.28500000000000003,0.354,,,6.500000000000001e-05,0.166,,,,0.171,0.064,0.252,5.9999999999999995e-05,,9e-08,4e-05,0.0039,,,,,,0.00054,,,,
colussi gran turchese buoncacao con cereali,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.0,,63.7000007629395,,,,,,,,,,,,,,,,,,,,,,,,,,20.6000003814697,,,,,,,,,,,,,,,,,,,,,,,,,,8.80000019073486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.100000381469695,
algida cornetto soft banana e cioccolato,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,22.0,,,,,,,,,,,,,,,,1.5,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,20.0,
granarolo - yomo yomo 100% naturale - yogurt yomo 100% naturale albicocche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.099999904632569,,,,,,,,,,,,,,,,,,,,,,,,,,3.20000004768372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chiodi di garofano,1.4709999999999999,7.087999999999999,5.438,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6.86,,,,0.00852,,,,,0.0014,,0.0,0.022000000000000002,,,,,0.045,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.022000000000000002,0.0,,0.0,,,,,,0.0,,0.08900000000000001,,,,0.0,,1.337,,,,,2.5860000000000003,,,,,4.257,,0.0,0.6459999999999999,,322.66,,61.21,,0.0,5.88,,,0.0,0.0,0.0374,0.000468,1.14,,0.00868,,,,34.2,0.256,,9.3e-05,9.3e-05,0.105,1.07,0.15,,,20.07,,,,,,0.0,,0.0,,,,,,0.0,0.264,0.0,0.030033,,,0.0014580000000000005,,,1.102,,,5.98,,,0.00034700000000000003,,0.0,0.00026700000000000004,0.02,,5.9e-06,,0.243,,,0.000115,,,,,,,,0.00015900000000000002,0.0,0.0,0.00059,0.0808,0.0,,,0.0,0.0001418,0.00109,,,2.38,8.4e-05
"danone - vitasnella gusti cereali - fragola, kiwi e cereali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,8.89999961853027,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.100000001490116,,,,,,,,,,,,,,,,,,,,,,,,,,4.40000009536743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.800000190734861,
"fagioli rosa, bolliti",0.042,0.21,0.126,,,,,,1.095,,,,,,,0.0,1.381,,,,,,,,,,0.000299,,61.2,0.38,,,0.00098,,,0.561,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,,0.042,,,,,0.114,,,,,0.096,,0.0,0.052000000000000005,,148.9,,27.91,,0.0,1.34,0.099,,0.0,0.0,0.0369,0.0,,0.49,0.0023,,,,5.3,,,0.000168,0.000168,0.165,,,0.354,,0.49,,,,0.4,0.252,,0.723,0.0,,,,,0.622,0.0,0.065,,0.0005480000000000001,0.136,,0.00057,,,0.508,0.384,,9.06,,,0.00027100000000000003,,0.0,6.3e-05,,,1.4e-06,0.493,0.002,,,0.000257,0.255,,,,0.381,0.107,0.474,0.0,0.0,0.0,0.000175,0.0,0.0,,,0.0,3.7000000000000006e-06,0.00096,,,0.36,0.0
loacker quadratini cappuccino 220 grammi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,,58.7000007629395,,,,,,,,,,,,,,,,,,,,,,,,,,26.7999992370605,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestle - buitoni tortelloni ricotta e spinaci buitoni,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,,39.7000007629395,,,,,,,,,,,,,,,,4.5,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,9.39999961853027,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,3.70000004768372,
"granarolo - yomo yomo 100% naturale 0,1% grassi frutti dei tropici",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,12.3000001907349,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001490116,,,,,,,,,,,,,,,,,,,,,,,,,,4.40000009536743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
