,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
"spinaci, surgelati (spinacia oleracea)",0.17,0.001,0.044,,0.354,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,8.999999999999999e-05,0.00016,0.0005,0.0005,0.024,,100.0,92.8,2.8,3.0,,,,,,,1.8,,,0.0,0.057,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,23.00
"pollo, ala con pelle cruda (gallus gallus)",0.014,0.0006,,0.018,0.228,5.9999999999999995e-05,,0.00131,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,63.0,68.0,16.7,0.0,0.0,0.0,14.3,,,,0.0,0.0,0.0,,0.1,0.0,0.0,629.9937,306.18,629.9937,629.9937,496.44,434.7,629.9937,562.59,629.9937,629.9937,132.3,548.1,303.03000000000003,495.81,629.9937,333.27,422.73,105.21,91,Trip.,196.00
puntarelle (cichorium intybus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.7,1.23,1.46,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
brandy,0.001,,0.001,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,230.00
"carne bovina pressata, in scatola (bos taurus)",0.004,0.0018,,0.012,0.184,0.0002,,0.00364,3.26,0.0,0.0,0.21,1.88,1.09,0.0,0.0,3.15,0.02,0.32,2.58,0.03,0.0,0.78,0.43,0.1,0.05,0.12,0.06,0.2,0.00014000000000000001,0.00029,0.00484,,0.0,,100.0,72.1,16.5,0.0,,0.0,8.3,3.26,3.15,0.78,0.0,0.0,0.0,0.045,0.6970000000000001,0.0,0.0,999.99,569.0,999.99,999.99,734.0,721.0,999.99,901.0,999.99,991.0,180.0,901.0,450.0,736.0,999.99,576.0,695.0,167.0,92,Trip.,141.00
margarina -100% vegetale,0.02,0.0,0.016,0.003,0.005,0.0,0.0,0.0,26.43,0.0,0.76,0.81,19.32,5.53,0.0,0.0,36.78,0.0,0.59,32.05,1.2,2.93,17.64,16.62,1.02,0.0,0.0,0.0,0.7,0.0,0.0,0.0,7.5e-05,0.0,0.012400000000000001,100.0,13.0,0.6,0.4,0.4,0.0,84.0,26.43,36.78,17.64,0.0,0.0,0.0,0.0,0.8,0.0,0.0,68.0,23.0,31.0,65.0,39.0,46.0,179.0,83.0,18.0,29.0,8.0,57.0,21.0,52.0,84.0,41.0,41.0,12.0,120,triptofano,760.00
"merluzzo o nasello, surgelato, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura] (merluccius merluccius)",0.036,0.001,0.202,0.02,0.328,0.00031,0.016800000000000002,0.0021000000000000003,0.17,0.0,0.0,0.01,0.14,0.03,0.0,0.0,0.13,0.0,0.01,0.08,0.03,0.0,0.32,0.0,0.0,0.01,0.04,0.24,1.9,5e-05,7.000000000000001e-05,0.0022,,0.0,,75.0,76.8,20.9,0.0,0.0,0.0,0.9,0.17,0.13,0.32,0.0,0.0,0.0,0.06,0.08,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,92.00
biscotti wafers,0.073,0.0016,0.083,,0.16,,,,4.24,0.24,0.76,0.3,1.79,1.12,,,4.86,,0.04,4.8,1.0,0.0,4.15,3.86,0.26,0.06,0.03,0.02,0.9,,,,0.0,0.0,,100.0,4.0,7.1,77.6,26.7,45.0,15.0,4.24,4.86,4.15,1.6,,,0.002,0.07,0.0,,281.0,128.0,286.0,407.0,220.0,335.0,999.99,577.0,236.0,238.0,127.0,323.0,105.0,261.0,447.0,205.0,308.0,96.0,73,lisina,454.00
"tonno, fresco (euthynnus pelamis)",0.038,0.0013,0.264,0.026,,,0.112,,3.35,0.0,0.0,0.31,2.71,0.31,,0.0,1.51,0.0,0.22,0.95,0.09,0.09,3.2,0.15,0.09,,0.8,2.15,1.0,0.0002,0.00012,0.0085,0.00045,,,90.0,61.5,21.5,0.1,0.1,0.0,8.1,3.35,1.51,3.2,0.0,0.0,0.0,0.07,0.043000000000000003,0.0,0.0,899.991,522.9,899.991,899.991,899.991,793.8000000000001,899.991,677.7,890.1,899.991,154.8,899.991,677.7,899.991,899.991,774.0,899.991,213.3,100,Trip.,159.00
dolce verde,0.36,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,100.0,52.5,19.1,2.5,2.5,0.0,20.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,266.00
olio di lino,,,,,0.0,,,,9.0,,,,5.0,4.0,,,19.0,,,,,,72.0,14.0,58.0,,,,,,,,,,,100.0,,,0.0,0.0,0.0,99.9,9.0,19.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,899.00
suro o sugarello (trachurus mediterraneus),0.125,0.0009,0.224,0.031,0.212,0.00014000000000000001,,0.00145,0.87,0.0,0.0,0.1,0.55,0.16,0.01,0.0,0.58,0.0,0.11,0.4,0.02,0.02,0.66,0.03,0.02,0.05,0.13,0.36,0.8,,,,,0.0,,55.0,77.2,18.3,1.0,1.0,0.0,3.0,0.87,0.58,0.66,0.0,0.0,0.0,0.065,0.111,0.0,0.0,549.9945,549.9945,74.25,549.9945,414.70000000000005,419.65000000000003,549.9945,235.4,470.8,549.9945,0.0,468.05,493.35,443.85,549.9945,315.15000000000003,338.25,0.0,100,Fenil.,104.00
fichi-d'india (opuntia ficus -indica),0.03,0.0004,0.025,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,2e-05,4e-05,0.0004,9.999999999999999e-06,0.018000000000000002,,64.0,83.2,0.8,13.0,13.0,0.0,0.1,,,,5.0,0.13,4.87,0.0,0.001,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,53.00
aranciata,0.008,0.00044,0.014,0.011,0.018,,0.0001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6e-05,2e-05,0.00031,,,,100.0,86.0,0.1,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,8.0,3.0,40.0,63.0,7.0,11.0,28.0,37.0,8.0,13.0,4.0,9.0,3.0,6.0,11.0,3.0,7.0,2.0,23,lisina,38.00
"cavolo verza, cotto [bollito in acqua distillata senza aggiunta di sale] (brassica oleracea, cv. capitata)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,90.1,2.1,,,,0.2,,,,2.6,0.74,1.81,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
gallette di cereali,,,,,,,,,0.4,0.0,0.0,9.0,0.34,0.02,,,0.3,,3.0,0.28,0.0,0.0,0.5,0.39,0.08,0.0,0.0,0.0,1.2,,,,0.0,0.0,,100.0,5.6,6.0,85.0,9.0,69.2,1.0,0.4,0.3,0.5,1.0,,,0.0,0.001,0.0,0.00023,,,,,,,,,,,,,,,,,,,,,352.00
"gelato confezionato- caffeã, in vaschetta",0.245,,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,54.9,5.1,23.9,23.9,,15.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,245.00
yogurt magro bianco,,,,,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,100.0,89.0,3.3,5.0,5.0,0.0,0.5,,,,0.0,0.0,0.0,0.002,0.058,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,36.00
"trota iridea d'allevamento, filetti (salmo trutta)",0.05,0.002,0.279,0.025,0.319,,,0.0011899999999999999,1.05,0.0,0.0,0.15,0.68,0.22,0.0,0.0,1.58,0.0,0.28,0.9,0.23,0.15,1.06,0.28,0.05,0.02,0.14,0.4,1.0,8.999999999999999e-05,6e-05,0.003,,,,100.0,74.3,20.3,0.0,0.0,0.0,4.1,1.05,1.58,1.06,0.0,0.0,0.0,0.05,0.061,0.0,0.0,999.99,861.0,,,893.0,,,,,0.0,0.0,999.99,993.0,974.0,999.99,,999.99,248.0,100,Trip.,118.00
crema di nocciole e cacao,0.143,0.0036,0.164,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,3e-05,0.0001,0.00045000000000000004,,0.0,,100.0,0.8,6.9,58.1,58.1,,32.4,,,,,,,0.002,0.05,0.0,,355.0,138.0,428.0,606.0,251.0,343.0,999.99,463.0,214.0,257.0,121.0,341.0,127.0,253.0,525.0,221.0,297.0,106.0,89,Lis.,537.00
anacardi senza guscio (anacardium occidentale),0.045,0.006,0.49,0.26,0.565,0.002,0.012,0.006,9.0,,,,,,,,27.0,,,,,,8.0,8.0,0.0,,,,0.9,0.0002,0.0002,0.001,0.0,0.0,0.001,100.0,3.0,15.0,33.0,,,46.0,9.0,27.0,8.0,3.0,,,0.0,0.016,0.0,,520.0,400.0,999.99,999.99,590.0,850.0,999.99,690.0,800.0,700.0,280.0,910.0,270.0,730.0,999.99,490.0,790.0,240.0,60,Lis.,598.00
pesche con buccia (prunus persica),0.005,0.00011,0.012,0.007,0.197,5.9999999999999995e-05,0.0004,0.00014000000000000001,0.01,0.0,0.0,0.0,9.0,1.0,,,0.03,,1.0,0.03,0.0,0.0,0.04,0.04,1.0,0.0,0.0,0.0,4.5,1e-05,4e-05,0.00099,5.4e-05,0.0066,0.0007,,,0.7,8.8,7.8,0.0,0.0,0.01,0.03,0.04,1.9,0.78,1.14,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,25,triptofano,39.00
"formaggio cremoso spalmabile, light",,,,,,,,,10.0,,,,,,,,4.0,,,,,,0.4,,,,,,,,,,0.000224,,,100.0,70.0,9.2,3.1,3.1,0.0,14.5,10.0,4.0,0.4,0.0,0.0,0.0,0.042,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,179.00
"gamberi, freschi (crangon vulgaris)",0.11,0.0018,0.349,0.039,0.266,0.0007,0.03,0.0019,0.15,0.0,0.0,2.0,0.1,0.04,,,0.17,,0.02,0.11,0.01,0.01,0.29,0.05,0.03,0.04,0.1,0.03,1.8,8e-05,0.0001,0.0032,2e-06,0.002,,45.0,80.1,13.6,2.9,2.9,0.0,0.6,0.15,0.17,0.29,0.0,0.0,0.0,0.15,0.146,0.0,0.0,449.9955,146.25,449.9955,449.9955,289.8,283.05,449.9955,236.70000000000002,432.45,405.90000000000003,80.55,337.05,202.5,347.40000000000003,449.9955,239.4,302.40000000000003,99.9,106,istidina,71.00
"datteri, secchi (phoenix dactylifera)",0.069,0.0027,0.065,,0.75,0.00028000000000000003,0.0019,0.00029,0.19,0.01,0.05,0.03,0.03,0.09,,,0.14,,0.01,0.14,0.0,0.0,0.03,0.02,0.02,0.0,0.0,0.0,0.1,8e-05,0.00015,0.0022,4.9999999999999996e-06,0.0,0.0001,90.0,17.3,2.7,63.1,63.1,0.0,0.6,0.19,0.14,0.03,8.7,1.24,7.49,0.0,0.005,0.0,,54.0,27.0,59.4,113.4,46.800000000000004,59.4,191.70000000000002,95.4,85.5,90.0,40.5,59.4,19.8,42.300000000000004,79.2,27.0,50.4,45.0,52,lisina,253.00
speck,0.011,0.0016,,0.029,0.484,0.00013000000000000002,,0.0025,5.72,0.0,0.0,0.28,3.71,1.73,0.0,0.0,9.44,0.0,0.59,8.4,0.45,0.0,3.91,3.13,0.16,0.39,0.05,0.18,0.7,0.00014000000000000001,0.00014000000000000001,0.00114,,0.0,,100.0,44.7,28.3,0.5,0.5,0.0,20.9,5.72,9.44,3.91,0.0,0.0,0.0,0.09,1.557,0.0,0.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,294.0,999.99,777.0,999.99,999.99,999.99,999.99,314.0,100,Trip.,303.00
anatra domestica (anas boscas),0.012,0.0013,0.2,0.014,0.29,0.0003,0.022,0.0019,3.7,,,,,,,,2.4,,,,,,1.2,,,,,,,0.00019,0.00017999999999999998,0.0077,7.999999999999999e-05,0.0,,80.0,68.8,21.4,0.0,0.0,0.0,8.2,3.7,2.4,1.2,0.0,0.0,0.0,0.077,0.11,0.0,0.0,799.9920000000001,386.40000000000003,799.9920000000001,799.9920000000001,624.8000000000001,629.6,799.9920000000001,718.4000000000001,799.9920000000001,799.9920000000001,224.8,764.8000000000001,395.20000000000005,751.2,799.9920000000001,556.8000000000001,612.8000000000001,203.20000000000002,125,treonina,159.00
"uova di gallina, tuorlo, cotto in camicia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,1.337,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
burro,0.025,0.0,0.016,0.002,0.015,1e-05,0.001,5e-05,48.78,7.82,2.39,8.31,20.86,9.4,0.0,0.0,23.72,1.14,1.9,20.68,0.0,0.0,2.75,1.57,1.18,0.0,0.0,0.0,0.1,0.005,3e-05,4e-05,0.0009299999999999999,0.0,0.0024,100.0,14.1,0.8,1.1,1.1,0.0,83.4,48.78,23.72,2.75,0.0,0.0,0.0,0.25,0.007,0.0,0.0,67.0,23.0,31.0,64.0,38.0,46.0,178.0,82.0,18.0,29.0,8.0,57.0,21.0,51.0,83.0,41.0,41.0,12.0,128,triptofano,758.00
melanzane crude (solanum melongena),0.014,0.0003,0.033,0.014,0.184,5e-05,0.0003,0.00014000000000000001,0.03,0.0,0.0,0.0,0.02,9.0,,,0.01,,2.0,0.01,0.0,0.0,0.07,0.06,0.01,0.0,0.0,0.0,2.2,5e-05,5e-05,0.0006,8e-06,0.011,3e-05,92.0,92.7,1.1,2.6,2.6,0.0,0.4,0.03,0.01,0.07,2.6,,,0.0,0.026000000000000002,0.0,,48.760000000000005,18.400000000000002,43.24,135.24,37.72,41.4,132.48000000000002,67.16,48.760000000000005,51.52,0.0,55.2,19.32,39.56,64.4,38.64,54.28,10.120000000000001,76,Solf.,18.00
emmenthal,1.145,0.0003,0.7,,0.107,,,,,,,,,,,,,,,,,,,,,,,,,1e-05,0.00045000000000000004,0.0001,0.000343,0.001,,100.0,34.6,28.5,3.6,3.6,0.0,30.6,,,,0.0,0.0,0.0,,0.45,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,403.00
gelato alla frutta con latte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,62.4,3.3,25.2,25.2,,8.4,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,183.00
formaggio molle da tavola,0.604,,0.48,,,,,,14.67,0.0,1.13,2.86,7.79,2.89,0.0,0.0,8.56,0.0,0.67,7.89,0.0,0.0,0.57,0.26,0.31,0.0,0.0,0.0,0.0,7.000000000000001e-05,0.0003,0.0003,0.00031,0.0,,100.0,38.9,25.4,1.0,1.0,0.0,30.2,14.67,8.56,0.57,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,377.00
"fegato di suino, crudo (sus scrofa domestica)",0.01,0.018,0.362,0.021,0.356,0.0026,0.042,0.0063,1.41,0.0,0.0,0.02,0.53,0.84,,,0.63,,0.03,0.56,0.0,0.04,1.05,0.42,0.04,0.53,0.0,0.03,0.7,0.0004,0.00298,0.0145,0.009999989999999999,0.023,0.00047,100.0,70.0,22.8,1.5,1.5,0.0,4.8,1.41,0.63,1.05,0.0,0.0,0.0,0.26,0.108,0.0,0.0,999.99,582.0,999.99,999.99,910.0,999.99,999.99,999.99,999.99,999.99,404.0,999.99,530.0,999.99,999.99,729.0,999.99,301.0,125,treonina,140.00
salame nostrano,0.042,0.0017,,0.034,0.49,0.00027,0.0031,0.0040999999999999995,9.34,0.0,0.0,0.43,5.73,3.13,0.05,0.0,12.96,0.0,0.76,11.75,0.45,0.0,4.05,3.76,0.21,0.0,0.08,0.0,0.4,0.00017999999999999998,0.00026000000000000003,,,0.0,,100.0,37.3,27.3,1.1,1.1,0.0,28.5,9.34,12.96,4.05,0.0,0.0,0.0,0.094,1.633,0.0,0.0,999.99,838.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,306.0,999.99,721.0,999.99,999.99,874.0,994.0,273.0,91,Trip.,370.00
ricotta di vacca,0.295,0.0004,0.237,0.017,0.119,2e-05,0.0039,0.0005,6.82,0.23,0.39,1.33,3.49,1.06,0.0,0.0,2.76,0.11,0.19,2.37,0.0,0.0,0.39,0.25,0.14,0.0,0.0,0.0,0.1,,,,0.000128,0.0,0.00021,100.0,75.7,8.8,3.5,3.5,0.0,10.9,6.82,2.76,0.39,0.0,0.0,0.0,0.057,0.078,0.0,0.0,794.0,185.0,278.0,840.0,410.0,416.0,999.99,539.0,181.0,430.0,182.0,532.0,203.0,466.0,997.0,331.0,353.0,88.0,91,Trip.,146.00
"caffe' tostato (coffea arabica, coffea robusta)",0.13,0.0040999999999999995,0.16,,2.02,,,,5.42,0.0,0.0,0.01,4.25,0.85,0.28,0.06,1.15,0.0,0.0,1.06,0.03,0.05,5.64,5.48,0.16,0.0,0.0,0.0,1.0,,0.0002,0.01,,0.0,,100.0,4.1,10.4,28.5,,,15.4,5.42,1.15,5.64,,,,0.0,0.074,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,287.00
"pesce semigrasso, intero",0.03,,1.05,,,,,,1.94,0.0,0.0,0.23,1.32,0.35,0.0,0.0,2.78,0.0,0.46,1.72,0.07,0.24,2.21,0.42,0.05,0.07,0.46,0.95,1.1,,,,,0.0,,75.0,69.1,19.7,1.2,1.2,0.0,8.4,1.94,2.78,2.21,0.0,0.0,0.0,0.068,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,159.00
"finocchi, cotti [bolliti in acqua distillata senza aggiunta di sale] (foeniculum vulgare)",,,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,,,,,,,100.0,80.1,3.5,2.9,2.9,0.0,,,,,1.9,0.49,1.38,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,25.00
prosciutto crudo di montagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,44.8,26.2,0.0,0.0,0.0,22.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,303.00
marmellate 60% zuccheri,0.018,0.0014,0.007,,0.1,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,2e-05,2e-05,0.0009000000000000001,0.0,0.004,,100.0,36.0,0.5,60.0,60.0,0.0,,,,,2.2,,,0.0,0.012,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,240.00
"pollo, petto crudo (gallus gallus)",0.004,0.0004,0.21,0.032,0.37,5e-05,0.01,0.00067,0.25,0.0,0.0,0.01,0.14,0.1,0.0,0.0,0.19,0.01,0.01,0.16,0.0,0.0,0.23,0.11,0.0,0.06,0.0,0.0,0.9,0.0001,0.0002,0.0083,0.0,0.0,,98.0,74.9,23.3,0.0,0.0,0.0,0.8,0.25,0.19,0.23,0.0,0.0,0.0,0.06,0.033,0.0,0.0,979.9902,918.26,979.9902,979.9902,979.9902,979.9902,979.9902,842.8,979.9902,979.9902,301.84,979.9902,652.68,979.9902,979.9902,785.96,954.52,267.54,100,Trip.,100.00
"gamberi, sgusciati, surgelati (crangon vulgaris)",0.128,0.0026,0.15,,0.075,,,,0.27,0.0,0.0,0.05,0.16,0.05,,0.0,0.27,0.0,0.04,0.19,0.01,0.03,0.37,0.02,0.01,0.0,0.16,0.18,1.4,,2e-05,0.0005,,,,100.0,81.2,16.5,2.9,2.9,0.0,0.9,0.27,0.27,0.37,0.0,0.0,0.0,0.15,0.375,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,85.00
yogurt magro con frutta e zucchero,,,,,,,,,2.0,,,,,,,,0.1,,,,,,0.0,,,,,,,,,,,,,100.0,,3.0,15.0,,0.0,0.5,2.0,0.1,0.0,0.0,0.0,0.0,0.007,0.045,0.0,0.0,,,,,,,,,,,,,,,,,,,,,70.00
pane formato rosetta,0.02,0.001,,0.015,0.103,0.00019,0.002,0.00037,,,,,,,,,,,,,,,,,,,,,,4e-05,2e-05,0.00101,0.0,0.0,,100.0,30.7,9.0,57.6,7.5,45.5,1.9,,,,3.1,1.46,1.63,0.0,0.317,0.0,5e-05,194.0,192.0,327.0,421.0,259.0,489.0,999.99,999.99,327.0,287.0,224.0,469.0,157.0,374.0,691.0,244.0,448.0,82.0,37,Lis.,269.00
sarda in salamoia (sardina pilchardus),,,,,,,,,0.51,0.0,0.0,0.06,0.35,0.09,0.0,0.0,0.46,0.0,0.11,0.2,0.02,0.09,1.06,0.04,0.02,0.02,0.19,0.66,2.1,,,,,0.0,,100.0,,,,,0.0,2.9,0.51,0.46,1.06,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
miglio decorticato (panicum miliaceum),0.017,0.0035,0.3,0.16,0.174,0.00055,,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,12.6,11.0,74.1,4.9,62.9,4.2,,,,3.1,,,0.0,0.001,0.0,0.0007199999999999999,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,360.00
molluschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.11,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"nocciole secche, con guscio (corylus avellana)",0.15,0.0033,0.322,0.16,0.466,0.0013,0.002,0.002,4.16,0.0,0.0,0.74,2.45,0.88,0.09,0.0,38.62,0.0,0.13,38.46,0.03,0.0,5.2,5.09,0.11,0.0,0.0,0.0,1.3,0.00051,0.0001,0.0028,2.9999999999999997e-05,0.004,0.015,42.0,4.5,13.8,6.1,4.1,1.8,64.1,4.16,38.62,5.2,8.1,,,0.0,0.011,0.0,0.00098,171.35999999999999,124.32,419.9958,419.9958,220.07999999999998,257.03999999999996,419.9958,215.45999999999998,233.51999999999998,243.17999999999998,116.75999999999999,276.78,86.52,215.88,390.59999999999997,166.73999999999998,249.89999999999998,52.5,51,Lis.,655.00
"aringa, sotto sale (clupea harengus)",0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-05,0.00029,0.003,4.8e-05,,,73.0,48.8,19.8,0.0,0.0,0.0,15.4,,,,0.0,0.0,0.0,0.11,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,218.00
tartufo nero (tuber melanosporum),0.024,0.0035,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,8.999999999999999e-05,0.002,0.0,0.001,,79.0,75.8,6.0,0.7,0.7,,0.5,,,,8.4,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,31.00
crackers alla soia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,2.9,13.1,67.7,6.3,55.8,11.7,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,412.00
whisky,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,65.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,245.00
yogurt magro con frutta e dolcificante,,,,,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,100.0,89.0,3.3,6.0,6.0,0.0,0.5,,,,0.0,0.0,0.0,0.002,0.058,0.0,0.0,,,,,,,,,,,,,,,,,,,,,40.00
sarda fresca (sardina pilchardus),0.033,0.0018,0.215,0.01,0.63,0.0002,,0.0008,1.02,0.0,0.0,0.15,0.65,0.22,0.0,0.0,1.2,0.0,0.32,0.69,0.19,0.0,1.77,0.06,0.0,0.04,0.51,1.16,1.7,2e-05,0.00025,0.0097,2.8e-05,,,70.0,73.0,20.8,1.5,1.5,0.0,4.5,1.02,1.2,1.77,0.0,0.0,0.0,0.063,0.066,0.0,0.0,699.9929999999999,524.3,699.9929999999999,699.9929999999999,669.9,582.4,699.9929999999999,466.2,669.9,699.9929999999999,58.099999999999994,699.9929999999999,466.2,699.9929999999999,699.9929999999999,553.0,669.9,175.0,100,Trip.,129.00
farina di riso (oryza sativa),0.007,0.0004,0.09,,0.104,0.00013000000000000002,0.015099999999999999,0.0008,0.1,,,,,,,,0.1,,,,,,0.1,,,,,,,5e-05,4e-05,0.0014,0.0,0.0,0.0,100.0,12.3,7.3,87.0,0.0,79.1,0.5,0.1,0.1,0.1,1.0,0.1,0.9,0.0,0.004,0.0,,207.0,149.0,516.0,549.0,210.0,310.0,999.99,278.0,267.0,332.0,107.0,348.0,144.0,244.0,488.0,314.0,317.0,72.0,59,lisina,360.00
torta margherita,0.009,0.0028,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,100.0,19.4,8.9,63.4,34.1,26.6,10.4,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,367.00
